ADT,smote500_3k,smote500_5k,smote1000_3k,smote1000_5k,smote500_7.5k,smote500_10k,Smote1000_7.5k,smote1000_10k,smotefull_3k,smotefull_5k,smotefull_10k,smotefull_15k,XGBOOST,CTPNET
CD11a,0.764921642249842,0.768354581823592,0.788921698402507,0.823078575249488,0.767023478273272,0.770346706198852,0.828726614416405,0.836203400947543,0.745549013435388,0.78161905424801,0.799180786354338,0.803905071061916,0.875454,0.773208
CD11c,0.778538297197389,0.784238196612237,0.724563016284893,0.721433244296483,0.776460913348703,0.750137035325024,0.708525655177444,0.68285896470138,0.593249991614154,0.633565184024475,0.702395649023507,0.733394965453738,0.804511,0.791827
CD123,0.690082383422188,0.687328233612158,0.690327470367583,0.692883165060849,0.689480093304017,0.691289287834093,0.688485122959121,0.680378912558452,0.597094902741078,0.632384734067194,0.669195472300389,0.674144649791859,0.717136,0.661474
CD127-IL7Ra,0.767840312711449,0.773244556230414,0.726125933178552,0.737607045901101,0.765401818880892,0.76327574546723,0.740008663314848,0.732474977492605,0.379960322570729,0.456277337571847,0.683965138198513,0.717957494266654,0.80248,0.811604
CD14_y,0.643524585118478,0.639283223967227,0.582962122358259,0.61445646575994,0.625448281536336,0.606071465317785,0.614680667323577,0.586236254568524,0.415657921668183,0.480145520519227,0.552540031132138,0.578483174613456,0.657897,0.637
CD16,0.22662794704917,0.243576400203698,0.107853535974765,0.128133530717372,0.251606129947274,0.256585544875947,0.131113056028551,0.058951015038501,0.291198754622753,0.263703251146649,0.219850412986132,0.186011391752699,0.43318,0.375291
CD161,0.375536307531849,0.342580523592825,0.281095770733031,0.254215071394032,0.285460158785772,0.264205199981855,0.244590416584792,0.237615179859107,0.327275162979093,0.296121315845972,0.257056982263523,0.243550554512645,0.465338,0.466955
CD19,0.41585071104358,0.381971846060789,0.386420667936961,0.377467825706434,0.347186313155891,0.31174384581822,0.326464556692805,0.284242630265422,0.382335909666801,0.38791825167322,0.387310883250553,0.367862124492343,0.40686,0.462669
CD197-CCR7,0.403354068274251,0.397328859316526,0.412232171782111,0.41764337994703,0.379172372700095,0.36734369913712,0.399820540934106,0.386624490488333,0.389441169604843,0.399955427531188,0.394258405723752,0.370357976523861,0.450091,0
CD25,0.326380308534139,0.323387745967242,0.202500035214668,0.263867281236554,0.298111254901114,0.270092385819102,0.24839646698863,0.227243657466145,0.124245361050266,0.100481106821905,0.141560849443234,0.201587474419947,0.3436,0
CD27,0.825379503211811,0.830176840169893,0.776945655125039,0.789951461724806,0.82591095981403,0.818367643871202,0.775156028371765,0.745626353632876,0.644283472220787,0.651723851763739,0.676011755332521,0.706295007742433,0.858188,0.836638
CD278-ICOS,0.757663606027038,0.767391011470947,0.703849871546233,0.728246618426768,0.761279579630093,0.752778995204709,0.732601376592966,0.70467358049194,0.562823913531982,0.609322041277787,0.652687955985557,0.697380663274758,0.782261,0.750386
CD28,0.793513607418817,0.791842817901143,0.717459547565502,0.737774445597102,0.779136486520962,0.774381206558155,0.742355534047346,0.740985067220617,0.570126678000235,0.645303548967452,0.691895916991375,0.715288159842554,0.816519,0.797779
CD3,0.736454385406612,0.729718984498286,0.663096358461271,0.702148734193072,0.72475930854171,0.72031322642267,0.690303415328075,0.645546161213476,0.629304787767328,0.659348900566932,0.738076242693843,0.731281079255245,0.828672,0.841333
CD34_y,0.590461865477826,0.589819272203138,0.578317116075311,0.57987759099527,0.583151292743867,0.582741359375958,0.573796404074658,0.56781267382124,0.370556729171583,0.416816146900858,0.490979764467583,0.52238871822063,0.596794,0.468793
