2020-10-28 14:39:57.011852 

This run includes 6 GCNs: mRNA, miRNA, meth, naive_mRNA-mRNA, naive_miRNA-miRNA, naive_meth-meth 


Training...
Epoch 0, Train loss: C1:1.23e-01, C2:2.21e-01, C3:7.16e-02, C4:1.07e-01, C5:6.41e-02, C6:6.52e-02, C:5.53e-01

Test: Epoch 0
Train Accuracy: 0.0850   Test ACC: 0.5285
Train F1: 0.0133         Test F1: 0.3655

Epoch 1, Train loss: C1:4.16e-02, C2:8.95e-02, C3:3.29e-02, C4:3.08e+04, C5:7.65e+04, C6:4.63e+03, C:5.40e-01
Epoch 2, Train loss: C1:4.63e-02, C2:1.13e-01, C3:4.35e-02, C4:1.79e+06, C5:4.47e+06, C6:1.63e+05, C:2.65e-01
Epoch 3, Train loss: C1:5.40e-02, C2:1.04e-01, C3:4.57e-02, C4:1.29e+05, C5:2.45e+05, C6:1.32e+04, C:9.15e-01
Epoch 4, Train loss: C1:4.70e-02, C2:7.82e-02, C3:3.61e-02, C4:2.97e+04, C5:5.45e+04, C6:3.14e+03, C:5.48e+00
Epoch 5, Train loss: C1:3.44e-02, C2:5.78e-02, C3:2.92e-02, C4:4.79e+04, C5:9.78e+04, C6:3.35e+03, C:1.44e+01
Epoch 6, Train loss: C1:2.85e-02, C2:4.64e-02, C3:2.63e-02, C4:3.67e+04, C5:5.69e+04, C6:1.99e+03, C:7.51e+00
Epoch 7, Train loss: C1:2.68e-02, C2:4.64e-02, C3:2.89e-02, C4:1.77e+04, C5:1.75e+04, C6:1.69e+03, C:4.89e-01
Epoch 8, Train loss: C1:3.02e-02, C2:4.43e-02, C3:2.90e-02, C4:9.45e+03, C5:3.18e+04, C6:1.71e+03, C:5.49e-01
Epoch 9, Train loss: C1:3.10e-02, C2:4.19e-02, C3:2.96e-02, C4:3.19e+04, C5:7.79e+04, C6:2.22e+03, C:4.17e-01
Epoch 10, Train loss: C1:2.98e-02, C2:4.12e-02, C3:2.80e-02, C4:3.29e+04, C5:2.69e+04, C6:3.00e+03, C:8.50e+00
Epoch 11, Train loss: C1:2.67e-02, C2:3.80e-02, C3:2.66e-02, C4:1.53e+04, C5:2.31e+04, C6:6.92e+02, C:9.68e+00
Epoch 12, Train loss: C1:2.41e-02, C2:3.45e-02, C3:2.46e-02, C4:6.97e+03, C5:5.01e+04, C6:9.78e+02, C:1.06e+01
Epoch 13, Train loss: C1:2.29e-02, C2:3.15e-02, C3:2.29e-02, C4:1.19e+04, C5:4.67e+04, C6:1.00e+03, C:1.35e+01
Epoch 14, Train loss: C1:2.14e-02, C2:2.94e-02, C3:2.26e-02, C4:2.52e+04, C5:3.67e+03, C6:1.67e+03, C:3.67e+00
Epoch 15, Train loss: C1:2.08e-02, C2:2.87e-02, C3:2.25e-02, C4:1.20e+04, C5:1.89e+04, C6:1.19e+03, C:2.49e+00
Epoch 16, Train loss: C1:2.14e-02, C2:2.76e-02, C3:2.32e-02, C4:4.37e+03, C5:3.89e+04, C6:2.36e+02, C:1.99e+00
