index,train_accuracy,train_F1,test_accuracy,test_F1
0,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
50,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
100,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
150,0.4771689497716895,0.30827916693132335,0.483695652173913,0.3153766523331741
200,0.4931506849315068,0.34130252931658295,0.483695652173913,0.3153766523331741
250,0.6301369863013698,0.5536087057694531,0.532608695652174,0.4153876942391498
300,0.5753424657534246,0.47952203719372616,0.483695652173913,0.3153766523331741
350,0.8082191780821918,0.7826103216244764,0.7336956521739131,0.6916286758804099
400,0.776255707762557,0.7385025290459982,0.6086956521739131,0.5477689245367137
450,0.8470319634703196,0.8210690682501867,0.7228260869565217,0.6876025095125413
500,0.9041095890410958,0.8766497601059239,0.782608695652174,0.756242263421516
550,0.9200913242009132,0.8922303173422255,0.7663043478260869,0.73821087948529
600,0.91324200913242,0.8884574493614172,0.7608695652173914,0.7277564024555371
650,0.8287671232876712,0.8053363604984597,0.75,0.7174970880213848
700,0.8515981735159818,0.8337124905383455,0.75,0.7192528358772428
750,0.9452054794520548,0.940623626885451,0.782608695652174,0.7586447230304187
800,0.8127853881278538,0.7896740001522505,0.6684782608695652,0.620583749727193
850,0.8881278538812786,0.8781793254678683,0.7717391304347826,0.7448241612422587
900,0.9703196347031964,0.9699054240935578,0.782608695652174,0.7706386175133828
950,0.958904109589041,0.95832545583952,0.7663043478260869,0.7429017537319554
1000,0.9817351598173516,0.9816095030341832,0.782608695652174,0.7704802354645601
1050,0.9269406392694064,0.9247861438713775,0.782608695652174,0.7594628884623901
1100,0.9771689497716894,0.9768051463334608,0.7880434782608695,0.7899540378750455
1150,0.954337899543379,0.9518637970197142,0.7663043478260869,0.7390729076581231
1200,0.9840182648401826,0.9838961067213609,0.7608695652173914,0.7610659572571418
1250,0.9360730593607306,0.9345326171988809,0.7717391304347826,0.7529934601236473
1300,0.9885844748858448,0.9885355618153109,0.7608695652173914,0.7607509528991222
1350,0.9885844748858448,0.9885355618153109,0.7663043478260869,0.765221075384764
1400,0.9931506849315068,0.9931293754902736,0.7445652173913043,0.7457967919283316
1450,0.9726027397260274,0.9721030440486428,0.7663043478260869,0.7510507730703495
1500,0.9703196347031964,0.969846229191577,0.7608695652173914,0.7400743235450882
1550,0.9908675799086758,0.9908168641900073,0.7608695652173914,0.7619261246789627
1600,0.9680365296803652,0.9679605389226544,0.7663043478260869,0.7493586930808205
1650,0.9908675799086758,0.9908323430293948,0.7663043478260869,0.769627462454126
1700,0.9931506849315068,0.9931293754902736,0.7608695652173914,0.763474221636317
1750,0.9908675799086758,0.9908427649612747,0.7663043478260869,0.7616674392159928
1800,0.9931506849315068,0.9931293754902736,0.7608695652173914,0.7651572949404802
1850,0.9931506849315068,0.9931293754902736,0.7445652173913043,0.7514610668038761
1900,0.9908675799086758,0.9908533593849564,0.7445652173913043,0.7525505238008331
1950,0.9611872146118722,0.9598914745547269,0.7554347826086957,0.734502345938347
2000,0.9885844748858448,0.9884894943209034,0.7663043478260869,0.7663934444230407
