2020-12-08 19:02:56.991965 

No Pre-selection of Features
This run includes 3 GCNs - mRNA, DNA methylation, miRNA 


Training...
Epoch 0, Train loss: C1:2.15e-01, C2:1.38e-01, C3:6.62e-02, C:3.85e-01

Test: Epoch 0
Train Accuracy: 0.4772   Test ACC: 0.4837
Train F1: 0.3083         Test F1: 0.3154

Epoch 1, Train loss: C1:2.70e+04, C2:2.21e+05, C3:3.18e-02, C:5.43e-01
Epoch 2, Train loss: C1:1.69e+06, C2:2.59e+07, C3:3.83e-02, C:5.38e-01
Epoch 3, Train loss: C1:9.28e+04, C2:1.12e+06, C3:3.70e-02, C:3.43e-01
Epoch 4, Train loss: C1:2.06e+04, C2:7.83e+05, C3:2.85e-02, C:3.28e-01
Epoch 5, Train loss: C1:6.66e+04, C2:9.03e+05, C3:2.53e-02, C:3.03e-01
Epoch 6, Train loss: C1:4.44e+04, C2:4.29e+05, C3:2.61e-02, C:3.23e-01
Epoch 7, Train loss: C1:1.29e+04, C2:9.56e+04, C3:2.74e-02, C:4.81e-01
Epoch 8, Train loss: C1:2.90e+03, C2:2.12e+05, C3:2.58e-02, C:4.28e-01
Epoch 9, Train loss: C1:2.75e+04, C2:4.77e+05, C3:2.35e-02, C:4.52e-01
Epoch 10, Train loss: C1:4.09e+04, C2:2.97e+05, C3:2.08e-02, C:4.80e-01
Epoch 11, Train loss: C1:2.64e+04, C2:1.35e+05, C3:1.98e-02, C:3.38e-01
Epoch 12, Train loss: C1:5.37e+03, C2:1.10e+05, C3:1.98e-02, C:3.14e-01
Epoch 13, Train loss: C1:5.42e+03, C2:3.71e+05, C3:2.03e-02, C:2.95e-01
Epoch 14, Train loss: C1:2.71e+04, C2:2.38e+05, C3:1.99e-02, C:2.87e-01
Epoch 15, Train loss: C1:2.44e+04, C2:3.60e+04, C3:1.85e-02, C:3.16e-01
Epoch 16, Train loss: C1:7.41e+03, C2:6.49e+04, C3:1.74e-02, C:3.54e-01
Epoch 17, Train loss: C1:1.35e+03, C2:1.85e+05, C3:1.65e-02, C:4.08e-01
Epoch 18, Train loss: C1:7.24e+03, C2:1.78e+05, C3:1.69e-02, C:4.18e-01
Epoch 19, Train loss: C1:1.37e+04, C2:5.08e+04, C3:1.71e-02, C:2.91e-01
Epoch 20, Train loss: C1:1.22e+04, C2:3.07e+04, C3:1.65e-02, C:3.20e-01
Epoch 21, Train loss: C1:4.40e+03, C2:1.11e+05, C3:1.58e-02, C:3.10e-01
Epoch 22, Train loss: C1:7.02e+02, C2:1.21e+05, C3:1.58e-02, C:3.12e-01
Epoch 23, Train loss: C1:4.77e+03, C2:3.07e+04, C3:1.51e-02, C:2.90e-01
Epoch 24, Train loss: C1:8.42e+03, C2:1.72e+04, C3:1.53e-02, C:4.51e-01
Epoch 25, Train loss: C1:6.39e+03, C2:6.92e+04, C3:1.51e-02, C:3.29e-01
Epoch 26, Train loss: C1:1.67e+03, C2:7.85e+04, C3:1.46e-02, C:3.18e-01
Epoch 27, Train loss: C1:4.10e+02, C2:2.68e+04, C3:1.40e-02, C:2.76e-01
