index,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.2,0.07324215607401448,0.15217391304347827,0.04019688269073011,0.0,0.9808612440191388,0.0,0.019138755980861243,0.0,0.0,0.9808612440191388,0.0,0.019138755980861243,0.0
50,0.19425837320574163,0.12371420439637698,0.483695652173913,0.3153766523331741,0.05263157894736842,0.09569377990430622,0.0,0.7607655502392344,0.06220095693779904,0.05263157894736842,0.09569377990430622,0.0,0.7607655502392344,0.06220095693779904
100,0.25645933014354066,0.20943492063154434,0.5815217391304348,0.4507474523607762,0.19617224880382775,0.32057416267942584,0.023923444976076555,0.6602870813397129,0.08133971291866028,0.19617224880382775,0.32057416267942584,0.023923444976076555,0.6602870813397129,0.08133971291866028
150,0.3722488038277512,0.33728683133176457,0.32065217391304346,0.21775763829372946,0.5119617224880383,0.430622009569378,0.15311004784688995,0.6746411483253588,0.09090909090909091,0.5119617224880383,0.430622009569378,0.15311004784688995,0.6746411483253588,0.09090909090909091
200,0.48229665071770333,0.47304409004335984,0.30978260869565216,0.2065208616719912,0.7081339712918661,0.5358851674641149,0.37799043062200954,0.49760765550239233,0.291866028708134,0.7081339712918661,0.5358851674641149,0.37799043062200954,0.49760765550239233,0.291866028708134
250,0.5779904306220096,0.5752807409715814,0.2826086956521739,0.20846523570913125,0.7464114832535885,0.5502392344497608,0.6028708133971292,0.6124401913875598,0.37799043062200954,0.7464114832535885,0.5502392344497608,0.6028708133971292,0.6124401913875598,0.37799043062200954
300,0.6019138755980862,0.577012906802163,0.30434782608695654,0.205414653784219,0.9090909090909091,0.7655502392344498,0.6172248803827751,0.4784688995215311,0.23923444976076555,0.9090909090909091,0.7655502392344498,0.6172248803827751,0.4784688995215311,0.23923444976076555
350,0.6909090909090909,0.6893091720192444,0.29891304347826086,0.22227616350554885,0.8564593301435407,0.7129186602870813,0.6698564593301436,0.7081339712918661,0.507177033492823,0.8564593301435407,0.7129186602870813,0.6698564593301436,0.7081339712918661,0.507177033492823
400,0.7062200956937799,0.6910885809730394,0.33695652173913043,0.22436856479234024,0.9186602870813397,0.9090909090909091,0.6698564593301436,0.6555023923444976,0.37799043062200954,0.9186602870813397,0.9090909090909091,0.6698564593301436,0.6555023923444976,0.37799043062200954
450,0.7684210526315789,0.7706666265670367,0.391304347826087,0.328248120590159,0.8660287081339713,0.8181818181818182,0.7081339712918661,0.7703349282296651,0.6794258373205742,0.8660287081339713,0.8181818181818182,0.7081339712918661,0.7703349282296651,0.6794258373205742
500,0.7588516746411483,0.7522617082239917,0.3967391304347826,0.32945880353906726,0.8851674641148325,0.8995215311004785,0.7129186602870813,0.8325358851674641,0.46411483253588515,0.8851674641148325,0.8995215311004785,0.7129186602870813,0.8325358851674641,0.46411483253588515
550,0.8267942583732057,0.827095759775399,0.41304347826086957,0.3831784086391777,0.8947368421052632,0.84688995215311,0.8708133971291866,0.8564593301435407,0.6650717703349283,0.8947368421052632,0.84688995215311,0.8708133971291866,0.8564593301435407,0.6650717703349283
600,0.8354066985645933,0.8363506919391931,0.45652173913043476,0.41866459791334043,0.937799043062201,0.8803827751196173,0.8086124401913876,0.8803827751196173,0.6698564593301436,0.937799043062201,0.8803827751196173,0.8086124401913876,0.8803827751196173,0.6698564593301436
650,0.8564593301435407,0.8542241104515975,0.41304347826086957,0.3763527926112127,0.9425837320574163,0.9473684210526315,0.8947368421052632,0.861244019138756,0.6363636363636364,0.9425837320574163,0.9473684210526315,0.8947368421052632,0.861244019138756,0.6363636363636364
700,0.8593301435406698,0.8599516826003232,0.483695652173913,0.4208735708735709,0.9617224880382775,0.9282296650717703,0.8038277511961722,0.8373205741626795,0.7655502392344498,0.9617224880382775,0.9282296650717703,0.8038277511961722,0.8373205741626795,0.7655502392344498
750,0.8736842105263158,0.8749751497550017,0.40217391304347827,0.3607302648310116,0.8947368421052632,0.9234449760765551,0.9090909090909091,0.8421052631578947,0.7990430622009569,0.8947368421052632,0.9234449760765551,0.9090909090909091,0.8421052631578947,0.7990430622009569
800,0.8727272727272727,0.8709522763766286,0.46195652173913043,0.431775571927536,0.9569377990430622,0.9425837320574163,0.9330143540669856,0.8755980861244019,0.6555023923444976,0.9569377990430622,0.9425837320574163,0.9330143540669856,0.8755980861244019,0.6555023923444976
850,0.9100478468899521,0.910774415689783,0.5054347826086957,0.4903562561810643,0.9282296650717703,0.9808612440191388,0.9186602870813397,0.937799043062201,0.784688995215311,0.9282296650717703,0.9808612440191388,0.9186602870813397,0.937799043062201,0.784688995215311
900,0.9177033492822967,0.9188349440067111,0.5054347826086957,0.44830459770114944,0.9234449760765551,0.9904306220095693,0.8516746411483254,0.9186602870813397,0.9043062200956937,0.9234449760765551,0.9904306220095693,0.8516746411483254,0.9186602870813397,0.9043062200956937
950,0.9090909090909091,0.9083608974035914,0.47282608695652173,0.45182312931999213,0.9186602870813397,0.9904306220095693,0.9521531100478469,0.9186602870813397,0.7655502392344498,0.9186602870813397,0.9904306220095693,0.9521531100478469,0.9186602870813397,0.7655502392344498
1000,0.9224880382775119,0.9221622911682895,0.41847826086956524,0.32023367912983786,0.9569377990430622,0.9856459330143541,0.9425837320574163,0.8038277511961722,0.9234449760765551,0.9569377990430622,0.9856459330143541,0.9425837320574163,0.8038277511961722,0.9234449760765551
