index,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.2,0.06666666666666667,0.17391304347826086,0.05152979066022545,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
50,0.22392344497607655,0.11711316444733236,0.18478260869565216,0.07480384912029914,0.06698564593301436,0.014354066985645933,0.0,0.03827751196172249,1.0,0.06698564593301436,0.014354066985645933,0.0,0.03827751196172249,1.0
100,0.6162679425837321,0.5505895013448112,0.5380434782608695,0.4893781549406846,0.9282296650717703,0.9617224880382775,0.004784688995215311,0.18660287081339713,1.0,0.9282296650717703,0.9617224880382775,0.004784688995215311,0.18660287081339713,1.0
150,0.7961722488038278,0.7894131990815336,0.6141304347826086,0.6079672292193196,0.9425837320574163,0.9904306220095693,0.6842105263157895,0.36363636363636365,1.0,0.9425837320574163,0.9904306220095693,0.6842105263157895,0.36363636363636365,1.0
200,0.8842105263157894,0.8816588343875622,0.7119565217391305,0.7204381727265022,0.9425837320574163,0.9856459330143541,0.9234449760765551,0.5741626794258373,0.9952153110047847,0.9425837320574163,0.9856459330143541,0.9234449760765551,0.5741626794258373,0.9952153110047847
250,0.9138755980861244,0.9121112471733386,0.7717391304347826,0.7790455889575039,0.9425837320574163,0.9904306220095693,0.9712918660287081,0.6698564593301436,0.9952153110047847,0.9425837320574163,0.9904306220095693,0.9712918660287081,0.6698564593301436,0.9952153110047847
300,0.9406698564593301,0.9398457061449919,0.8206521739130435,0.8258591641876155,0.9569377990430622,0.9856459330143541,0.9904306220095693,0.7751196172248804,0.9952153110047847,0.9569377990430622,0.9856459330143541,0.9904306220095693,0.7751196172248804,0.9952153110047847
350,0.9368421052631579,0.9362153701281324,0.8152173913043478,0.8206580297336217,0.9425837320574163,0.9808612440191388,0.9856459330143541,0.7894736842105263,0.9856459330143541,0.9425837320574163,0.9808612440191388,0.9856459330143541,0.7894736842105263,0.9856459330143541
400,0.9569377990430622,0.9566850862602886,0.8206521739130435,0.8262886724585267,0.9473684210526315,0.9856459330143541,1.0,0.8660287081339713,0.9856459330143541,0.9473684210526315,0.9856459330143541,1.0,0.8660287081339713,0.9856459330143541
450,0.9550239234449761,0.9546723632506897,0.8260869565217391,0.8311037078559295,0.9521531100478469,0.9808612440191388,1.0,0.8516746411483254,0.9904306220095693,0.9521531100478469,0.9808612440191388,1.0,0.8516746411483254,0.9904306220095693
500,0.9607655502392345,0.9604357287092605,0.8315217391304348,0.8361892137554916,0.9473684210526315,0.9856459330143541,1.0,0.8755980861244019,0.9952153110047847,0.9473684210526315,0.9856459330143541,1.0,0.8755980861244019,0.9952153110047847
550,0.9655502392344497,0.965362249199041,0.8315217391304348,0.8352715933280845,0.9569377990430622,0.9808612440191388,1.0,0.8995215311004785,0.9904306220095693,0.9569377990430622,0.9808612440191388,1.0,0.8995215311004785,0.9904306220095693
600,0.9732057416267943,0.9731081365999816,0.8369565217391305,0.8389691850831585,0.9521531100478469,0.9856459330143541,1.0,0.937799043062201,0.9904306220095693,0.9521531100478469,0.9856459330143541,1.0,0.937799043062201,0.9904306220095693
650,0.970334928229665,0.9701917877557806,0.8315217391304348,0.8341037606525168,0.9521531100478469,0.9808612440191388,1.0,0.9186602870813397,1.0,0.9521531100478469,0.9808612440191388,1.0,0.9186602870813397,1.0
700,0.9674641148325359,0.9673393954198469,0.8369565217391305,0.8389691850831585,0.9569377990430622,0.9808612440191388,1.0,0.9186602870813397,0.9808612440191388,0.9569377990430622,0.9808612440191388,1.0,0.9186602870813397,0.9808612440191388
750,0.9655502392344497,0.9652919056547425,0.8315217391304348,0.8341037606525168,0.9521531100478469,0.9856459330143541,1.0,0.8947368421052632,0.9952153110047847,0.9521531100478469,0.9856459330143541,1.0,0.8947368421052632,0.9952153110047847
800,0.9770334928229665,0.9769677700533795,0.8315217391304348,0.8341037606525168,0.9617224880382775,0.9808612440191388,1.0,0.9473684210526315,0.9952153110047847,0.9617224880382775,0.9808612440191388,1.0,0.9473684210526315,0.9952153110047847
850,0.9751196172248804,0.9750423004284682,0.8369565217391305,0.8396943694497045,0.9569377990430622,0.9808612440191388,1.0,0.9425837320574163,0.9952153110047847,0.9569377990430622,0.9808612440191388,1.0,0.9425837320574163,0.9952153110047847
900,0.9770334928229665,0.9769784705821793,0.8315217391304348,0.8341037606525168,0.9617224880382775,0.9856459330143541,1.0,0.9425837320574163,0.9952153110047847,0.9617224880382775,0.9856459330143541,1.0,0.9425837320574163,0.9952153110047847
950,0.970334928229665,0.9702532446302343,0.8369565217391305,0.8396943694497045,0.9569377990430622,0.9808612440191388,1.0,0.9234449760765551,0.9904306220095693,0.9569377990430622,0.9808612440191388,1.0,0.9234449760765551,0.9904306220095693
1000,0.969377990430622,0.9692432782332246,0.8369565217391305,0.8396943694497045,0.9473684210526315,0.9808612440191388,1.0,0.9234449760765551,0.9952153110047847,0.9473684210526315,0.9808612440191388,1.0,0.9234449760765551,0.9952153110047847
