index,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.2,0.06666666666666667,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50,0.18947368421052632,0.07092067899286932,0.483695652173913,0.3153766523331741,0.0,0.0,0.019138755980861243,0.9282296650717703,0.0,0.0,0.0,0.019138755980861243,0.9282296650717703,0.0
100,0.19617224880382775,0.06746580852775544,0.483695652173913,0.3153766523331741,0.0,0.0,0.004784688995215311,0.9760765550239234,0.0,0.0,0.0,0.004784688995215311,0.9760765550239234,0.0
150,0.2,0.07330392015044121,0.483695652173913,0.3153766523331741,0.0,0.0,0.019138755980861243,0.9808612440191388,0.0,0.0,0.0,0.019138755980861243,0.9808612440191388,0.0
200,0.19808612440191387,0.06793044046452226,0.483695652173913,0.3153766523331741,0.0,0.0,0.004784688995215311,0.9856459330143541,0.0,0.0,0.0,0.004784688995215311,0.9856459330143541,0.0
250,0.19712918660287082,0.06586730615507592,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,0.9856459330143541,0.0,0.0,0.0,0.0,0.9856459330143541,0.0
300,0.19808612440191387,0.06624,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,0.9904306220095693,0.0,0.0,0.0,0.0,0.9904306220095693,0.0
350,0.19904306220095694,0.06645367412140575,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,0.9952153110047847,0.0,0.0,0.0,0.0,0.9952153110047847,0.0
400,0.19808612440191387,0.06613418530351436,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,0.9904306220095693,0.0,0.0,0.0,0.0,0.9904306220095693,0.0
450,0.2,0.06999586854460094,0.483695652173913,0.3153766523331741,0.0,0.0,0.009569377990430622,0.9904306220095693,0.0,0.0,0.0,0.009569377990430622,0.9904306220095693,0.0
500,0.2,0.06666666666666667,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
550,0.19904306220095694,0.06661329063250601,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,0.9952153110047847,0.0,0.0,0.0,0.0,0.9952153110047847,0.0
600,0.19808612440191387,0.06629303442754203,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,0.9904306220095693,0.0,0.0,0.0,0.0,0.9904306220095693,0.0
650,0.2,0.06666666666666667,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
700,0.2,0.06671987230646448,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
750,0.20095693779904306,0.06866889753645354,0.483695652173913,0.3153766523331741,0.0,0.0,0.004784688995215311,1.0,0.0,0.0,0.0,0.004784688995215311,1.0,0.0
800,0.19904306220095694,0.06807384281254243,0.483695652173913,0.3153766523331741,0.0,0.0,0.004784688995215311,0.9904306220095693,0.0,0.0,0.0,0.004784688995215311,0.9904306220095693,0.0
850,0.19617224880382775,0.06575781876503609,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,0.9808612440191388,0.0,0.0,0.0,0.0,0.9808612440191388,0.0
900,0.2,0.06666666666666667,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
950,0.19904306220095694,0.06650679456434852,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,0.9952153110047847,0.0,0.0,0.0,0.0,0.9952153110047847,0.0
1000,0.2,0.06671987230646448,0.483695652173913,0.3153766523331741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
