index,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.2,0.06666666666666667,0.17391304347826086,0.05152979066022545,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
50,0.2076555023923445,0.16685266646252583,0.17391304347826086,0.05152979066022545,0.07655502392344497,0.0,0.18181818181818182,0.23444976076555024,0.5454545454545454,0.07655502392344497,0.0,0.18181818181818182,0.23444976076555024,0.5454545454545454
100,0.21722488038277513,0.125271108806499,0.17391304347826086,0.05152979066022545,0.004784688995215311,0.0,0.0,0.2535885167464115,0.8277511961722488,0.004784688995215311,0.0,0.0,0.2535885167464115,0.8277511961722488
150,0.21435406698564594,0.11032921379794372,0.17391304347826086,0.05152979066022545,0.0,0.0,0.0,0.16267942583732056,0.9090909090909091,0.0,0.0,0.0,0.16267942583732056,0.9090909090909091
200,0.21339712918660286,0.10857395143140094,0.17391304347826086,0.05152979066022545,0.0,0.0,0.009569377990430622,0.1339712918660287,0.9234449760765551,0.0,0.0,0.009569377990430622,0.1339712918660287,0.9234449760765551
250,0.21913875598086124,0.11170231764690204,0.17391304347826086,0.05152979066022545,0.004784688995215311,0.0,0.0,0.13875598086124402,0.9521531100478469,0.004784688995215311,0.0,0.0,0.13875598086124402,0.9521531100478469
300,0.21913875598086124,0.10782039067705317,0.17391304347826086,0.05152979066022545,0.0,0.0,0.0,0.1291866028708134,0.9665071770334929,0.0,0.0,0.0,0.1291866028708134,0.9665071770334929
350,0.21818181818181817,0.11005622042430362,0.17391304347826086,0.05152979066022545,0.023923444976076555,0.0,0.0,0.10526315789473684,0.9617224880382775,0.023923444976076555,0.0,0.0,0.10526315789473684,0.9617224880382775
400,0.23827751196172248,0.13692718070311433,0.1793478260869565,0.06222096912187913,0.14832535885167464,0.0,0.0,0.04784688995215311,0.9952153110047847,0.14832535885167464,0.0,0.0,0.04784688995215311,0.9952153110047847
450,0.28038277511961723,0.19755671188847196,0.2554347826086957,0.15727747133895736,0.3684210526315789,0.0,0.0,0.07177033492822966,0.9617224880382775,0.3684210526315789,0.0,0.0,0.07177033492822966,0.9617224880382775
500,0.307177033492823,0.2181884046089649,0.2717391304347826,0.16996558098681455,0.5358851674641149,0.0,0.0,0.028708133971291867,0.9712918660287081,0.5358851674641149,0.0,0.0,0.028708133971291867,0.9712918660287081
550,0.34258373205741627,0.2291984825099388,0.29891304347826086,0.15438212846239602,0.7081339712918661,0.0,0.0,0.009569377990430622,0.9952153110047847,0.7081339712918661,0.0,0.0,0.009569377990430622,0.9952153110047847
600,0.36076555023923446,0.22100969237858337,0.21195652173913043,0.1236780258519389,0.8564593301435407,0.0,0.0,0.009569377990430622,0.937799043062201,0.8564593301435407,0.0,0.0,0.009569377990430622,0.937799043062201
650,0.3626794258373206,0.22898774983881368,0.2826086956521739,0.13988843590557334,0.84688995215311,0.0,0.0,0.0,0.9665071770334929,0.84688995215311,0.0,0.0,0.0,0.9665071770334929
700,0.3598086124401914,0.24633877410232313,0.29347826086956524,0.1387662459745159,0.7990430622009569,0.0,0.0,0.009569377990430622,0.9904306220095693,0.7990430622009569,0.0,0.0,0.009569377990430622,0.9904306220095693
750,0.3473684210526316,0.24584243377809056,0.29891304347826086,0.1629876515157451,0.7368421052631579,0.0,0.0,0.0,1.0,0.7368421052631579,0.0,0.0,0.0,1.0
800,0.3550239234449761,0.24664016988621723,0.30434782608695654,0.14904256016787987,0.784688995215311,0.0,0.0,0.0,0.9904306220095693,0.784688995215311,0.0,0.0,0.0,0.9904306220095693
850,0.3751196172248804,0.24248447204968945,0.2717391304347826,0.14776359151520777,0.8947368421052632,0.0,0.004784688995215311,0.0,0.9760765550239234,0.8947368421052632,0.0,0.004784688995215311,0.0,0.9760765550239234
900,0.3751196172248804,0.25149698921719643,0.28804347826086957,0.14270566922421143,0.8755980861244019,0.0,0.0,0.0,1.0,0.8755980861244019,0.0,0.0,0.0,1.0
950,0.3799043062200957,0.25888970887166485,0.2717391304347826,0.15226706365348655,0.8995215311004785,0.0,0.0,0.009569377990430622,0.9904306220095693,0.8995215311004785,0.0,0.0,0.009569377990430622,0.9904306220095693
1000,0.38181818181818183,0.2562021132039828,0.1793478260869565,0.09587419265910521,0.9617224880382775,0.0,0.009569377990430622,0.009569377990430622,0.9282296650717703,0.9617224880382775,0.0,0.009569377990430622,0.009569377990430622,0.9282296650717703
