,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal   ,train_acc_Alzheimer's,train_acc_Huntington's,test_acc_Normal   ,test_acc_Alzheimer's,test_acc_Huntington's
0,0.29977628635346754,0.24085928489042677,0.49333333333333335,0.32595238095238094,0.013422818791946308,0.5973154362416108,0.28859060402684567,0.013422818791946308,0.5973154362416108,0.28859060402684567
50,0.28859060402684567,0.2905760844658203,0.25333333333333335,0.19625266752027315,0.3087248322147651,0.2483221476510067,0.3087248322147651,0.3087248322147651,0.2483221476510067,0.3087248322147651
100,0.4317673378076063,0.43163242314734834,0.4666666666666667,0.4635181671234802,0.44966442953020136,0.44966442953020136,0.3959731543624161,0.44966442953020136,0.44966442953020136,0.3959731543624161
150,0.7628635346756152,0.7552666662292673,0.72,0.714889537536349,0.8590604026845637,0.5436241610738255,0.8859060402684564,0.8590604026845637,0.5436241610738255,0.8859060402684564
200,0.8366890380313199,0.8356517506963573,0.7733333333333333,0.7705082700322003,0.8791946308724832,0.697986577181208,0.9328859060402684,0.8791946308724832,0.697986577181208,0.9328859060402684
250,0.912751677852349,0.9115491354159253,0.84,0.8367623716153129,0.9798657718120806,0.7651006711409396,0.9932885906040269,0.9798657718120806,0.7651006711409396,0.9932885906040269
300,0.9328859060402684,0.9323490661784345,0.8933333333333333,0.8934274509803921,0.9194630872483222,0.8791946308724832,1.0,0.9194630872483222,0.8791946308724832,1.0
350,0.9574944071588367,0.9574133619149696,0.88,0.8810541851149062,0.9798657718120806,0.8926174496644296,1.0,0.9798657718120806,0.8926174496644296,1.0
400,0.9619686800894854,0.9619753903157987,0.8933333333333333,0.8929850851138577,0.9731543624161074,0.9194630872483222,0.9932885906040269,0.9731543624161074,0.9194630872483222,0.9932885906040269
450,0.9664429530201343,0.9662410826993333,0.9066666666666666,0.9071371516348474,0.9865771812080537,0.912751677852349,1.0,0.9865771812080537,0.912751677852349,1.0
500,0.9642058165548099,0.9641654641654642,0.9066666666666666,0.9071371516348474,0.9798657718120806,0.912751677852349,1.0,0.9798657718120806,0.912751677852349,1.0
550,0.9686800894854586,0.9686575013147023,0.9066666666666666,0.9071371516348474,0.9798657718120806,0.9261744966442953,1.0,0.9798657718120806,0.9261744966442953,1.0
600,0.970917225950783,0.9709011698871425,0.9066666666666666,0.9071371516348474,0.9798657718120806,0.9328859060402684,1.0,0.9798657718120806,0.9328859060402684,1.0
650,0.9821029082774049,0.9820956500841143,0.9066666666666666,0.9071371516348474,0.9932885906040269,0.9530201342281879,1.0,0.9932885906040269,0.9530201342281879,1.0
700,0.9776286353467561,0.9775322305885673,0.9066666666666666,0.9071371516348474,0.9865771812080537,0.9463087248322147,1.0,0.9865771812080537,0.9463087248322147,1.0
750,0.9798657718120806,0.9798546560757141,0.9066666666666666,0.9071371516348474,0.9932885906040269,0.9463087248322147,1.0,0.9932885906040269,0.9463087248322147,1.0
800,0.9843400447427293,0.9843455444682668,0.9066666666666666,0.9071371516348474,0.9932885906040269,0.9664429530201343,0.9932885906040269,0.9932885906040269,0.9664429530201343,0.9932885906040269
850,0.9821029082774049,0.9820956500841143,0.92,0.9199365079365079,0.9932885906040269,0.9530201342281879,1.0,0.9932885906040269,0.9530201342281879,1.0
900,0.9888143176733781,0.9888131839255213,0.92,0.9199365079365079,0.9932885906040269,0.9731543624161074,1.0,0.9932885906040269,0.9731543624161074,1.0
950,0.9821029082774049,0.9820996831403643,0.92,0.9199365079365079,0.9865771812080537,0.959731543624161,1.0,0.9865771812080537,0.959731543624161,1.0
1000,0.9843400447427293,0.9843356349286805,0.9066666666666666,0.9071371516348474,0.9932885906040269,0.959731543624161,1.0,0.9932885906040269,0.959731543624161,1.0
