,mRNA
0,0.08786388486623764
1,1.649404764175415
2,0.20475752651691437
3,0.15548670291900635
4,0.320448100566864
5,0.19345185160636902
6,0.054801613092422485
7,0.08070950955152512
8,0.1549222469329834
9,0.12164067476987839
10,0.06279829144477844
11,0.041575513780117035
12,0.0556432381272316
13,0.07189590483903885
14,0.06965537369251251
15,0.05436223745346069
16,0.03955233842134476
17,0.03768114745616913
18,0.04415289685130119
19,0.04978741705417633
20,0.05073187127709389
21,0.04465537145733833
22,0.038223497569561005
23,0.03348378464579582
24,0.035254254937171936
25,0.03769426792860031
26,0.03921717032790184
27,0.03820943459868431
28,0.03541489690542221
29,0.03225850686430931
30,0.031935762614011765
31,0.03218841925263405
32,0.033137042075395584
33,0.032948777079582214
34,0.03293826803565025
35,0.03167901188135147
36,0.02983362227678299
37,0.029460862278938293
38,0.029446270316839218
39,0.02937423251569271
40,0.02986358106136322
41,0.030177759006619453
42,0.028751244768500328
43,0.02828815020620823
44,0.027837436646223068
45,0.0272730253636837
46,0.02766011469066143
47,0.02683386020362377
48,0.026981458067893982
49,0.02696174755692482
50,0.025848887860774994
51,0.025519581511616707
52,0.02536623552441597
53,0.02506532333791256
54,0.02536548674106598
55,0.024899670854210854
56,0.0242599006742239
57,0.02396399900317192
58,0.02355925366282463
59,0.023544853553175926
60,0.022870995104312897
61,0.023143135011196136
62,0.023096302524209023
63,0.02263069339096546
64,0.02236160635948181
65,0.022170882672071457
66,0.022015223279595375
67,0.022273076698184013
68,0.02137981355190277
69,0.02095039002597332
70,0.02131766453385353
71,0.02062021568417549
72,0.020004697144031525
73,0.020577989518642426
74,0.019906841218471527
75,0.020518099889159203
76,0.01968354731798172
77,0.019358372315764427
78,0.019353818148374557
79,0.019231662154197693
80,0.01930169016122818
81,0.018859364092350006
82,0.018225878477096558
83,0.01805950328707695
84,0.017818404361605644
85,0.017656441777944565
86,0.01753726415336132
87,0.017840467393398285
88,0.017730139195919037
89,0.017659269273281097
90,0.017648780718445778
91,0.017244430258870125
92,0.017471838742494583
93,0.0169819425791502
94,0.016756227239966393
95,0.01690654084086418
96,0.016689753159880638
97,0.0167738888412714
98,0.016287004575133324
99,0.016222521662712097
100,0.016123278066515923
101,0.01623748242855072
102,0.015970924869179726
103,0.016235806047916412
104,0.015900658443570137
105,0.015955587849020958
106,0.015600628219544888
107,0.01568504236638546
108,0.015660706907510757
109,0.015357459895312786
110,0.014847769401967525
111,0.01527544017881155
112,0.01544106937944889
113,0.015359146520495415
114,0.014838575385510921
115,0.014740817248821259
116,0.014672289602458477
117,0.015097272582352161
118,0.014588579535484314
119,0.015033980831503868
120,0.01472928561270237
121,0.01488501951098442
122,0.014430971816182137
123,0.014368279837071896
124,0.014476088806986809
125,0.014308392070233822
126,0.014314997009932995
127,0.014283028431236744
128,0.014004584401845932
129,0.014338180422782898
130,0.014094081707298756
131,0.01407268363982439
132,0.013767469674348831
133,0.01360995415598154
134,0.01367857214063406
135,0.013605402782559395
136,0.013769670389592648
137,0.013654263690114021
138,0.013471439480781555
139,0.013827521353960037
140,0.013465307652950287
141,0.013396511785686016
142,0.013429461047053337
143,0.013169113546609879
144,0.013126385398209095
145,0.013338831253349781
146,0.013255524449050426
147,0.013730904087424278
148,0.013234511949121952
149,0.012892327271401882
150,0.012955876998603344
151,0.012897961772978306
152,0.012986098416149616
153,0.012777986004948616
154,0.012920673005282879
155,0.013101219199597836
156,0.012563364580273628
157,0.01240228395909071
158,0.01238290686160326
159,0.012038330547511578
160,0.012437822297215462
161,0.012539609335362911
162,0.012956637889146805
163,0.013239752501249313
164,0.013388075865805149
165,0.013310041278600693
166,0.012678387574851513
167,0.012127426452934742
168,0.012248286046087742
169,0.012425480410456657
170,0.01160464994609356
171,0.011869968846440315
172,0.011834228411316872
173,0.011399862356483936
174,0.011781440116465092
175,0.011286203749477863
176,0.011375835165381432
177,0.011679697781801224
178,0.01187659427523613
179,0.011992227286100388
180,0.011976940557360649
181,0.012585777789354324
182,0.012228227220475674
183,0.01117001660168171
184,0.010849051177501678
185,0.011598287150263786
186,0.011726350523531437
187,0.011248850263655186
188,0.011249449104070663
189,0.011868519708514214
190,0.011235019192099571
191,0.01090444065630436
192,0.011425097472965717
193,0.011285437270998955
194,0.010699192062020302
195,0.010929826647043228
196,0.010969763621687889
197,0.010616419836878777
198,0.010767055675387383
199,0.010590801946818829
200,0.01097532082349062
201,0.012197529897093773
202,0.013021472841501236
203,0.01396844070404768
204,0.012282710522413254
205,0.010647833347320557
206,0.01205851323902607
207,0.011427055113017559
208,0.010529397055506706
209,0.012154964730143547
210,0.011099332943558693
211,0.010430905036628246
212,0.01091449148952961
213,0.010241454467177391
214,0.010324842296540737
215,0.010553063824772835
216,0.009943765588104725
217,0.01028831023722887
218,0.01022068690508604
219,0.010480353608727455
220,0.010294727981090546
221,0.009893625974655151
222,0.010322264395654202
223,0.010537509806454182
224,0.010110396891832352
225,0.009998106397688389
226,0.009738720953464508
227,0.009948124177753925
228,0.00996378529816866
229,0.009930327534675598
230,0.009906473569571972
231,0.009999300353229046
232,0.009455996565520763
233,0.00993204116821289
234,0.009550755843520164
235,0.009286298416554928
236,0.009689743630588055
237,0.00958830863237381
238,0.009262310341000557
239,0.009710426442325115
240,0.009786037728190422
241,0.00968256127089262
242,0.009331857785582542
243,0.009221231564879417
244,0.009167657233774662
245,0.009198983199894428
246,0.009088044986128807
247,0.009418504312634468
248,0.009261081926524639
249,0.009038305841386318
250,0.009094894863665104
251,0.008961377665400505
252,0.009364557452499866
253,0.009532753378152847
254,0.010137412697076797
255,0.012258626520633698
256,0.014230015687644482
257,0.01215075608342886
258,0.009669850580394268
259,0.011569634079933167
260,0.010458625853061676
261,0.010176197625696659
262,0.010842296294867992
263,0.009112916886806488
264,0.010499788448214531
265,0.009538853541016579
266,0.00935349240899086
267,0.010242112912237644
268,0.009236103855073452
269,0.009527855552732944
270,0.009785741567611694
271,0.008814286440610886
272,0.009563663974404335
273,0.009364592842757702
274,0.008671616204082966
275,0.008962154388427734
276,0.008920185267925262
277,0.008688291534781456
278,0.008882488124072552
279,0.008882038295269012
280,0.00847435649484396
281,0.008705982938408852
282,0.00869830697774887
283,0.008632773533463478
284,0.008490488864481449
285,0.008492518216371536
286,0.008353648707270622
287,0.008773150853812695
288,0.008552825078368187
289,0.00829089991748333
290,0.008426588028669357
291,0.008282558061182499
292,0.008193460293114185
293,0.008227947168052197
294,0.0080804992467165
295,0.008116094395518303
296,0.00823997799307108
297,0.00847515370696783
298,0.008663913235068321
299,0.008792312815785408
300,0.008643784560263157
301,0.008698118850588799
302,0.008551983162760735
303,0.007904315367341042
304,0.007890214212238789
305,0.008126914501190186
306,0.008004996925592422
307,0.00828744936734438
308,0.008098728023469448
309,0.008061817847192287
310,0.008170816116034985
311,0.007882955484092236
312,0.00779245188459754
313,0.008048114366829395
314,0.00828801654279232
315,0.008398525416851044
316,0.008386554196476936
317,0.008045400492846966
318,0.008232226595282555
319,0.008259177207946777
320,0.0075820148922502995
321,0.00767045933753252
322,0.007924586534500122
323,0.007979447022080421
324,0.008306392468512058
325,0.008248464204370975
326,0.008557174354791641
327,0.008845528587698936
328,0.008110526949167252
329,0.008052848279476166
330,0.008089509792625904
331,0.008235457353293896
332,0.00887178536504507
333,0.008203260600566864
334,0.00795628223568201
335,0.008057569153606892
336,0.0077707418240606785
337,0.00788545049726963
338,0.007352821994572878
339,0.00808003917336464
340,0.008333894424140453
341,0.007550851907581091
342,0.008007189258933067
343,0.008401918224990368
344,0.008763514459133148
345,0.008579976856708527
346,0.007563433609902859
347,0.007954752072691917
348,0.007908167317509651
349,0.007753235287964344
350,0.007775742094963789
351,0.007189304102212191
352,0.00818544626235962
