,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.21244019138755982,0.15721710366537858,0.1358695652173913,0.03250468067401706,0.0,0.22009569377990432,0.0,0.5215311004784688,0.32057416267942584,0.0,0.22009569377990432,0.0,0.5215311004784688,0.32057416267942584
50,0.5732057416267943,0.5717783534241808,0.44021739130434784,0.3202100441705928,0.7081339712918661,0.722488038277512,0.49760765550239233,0.5502392344497608,0.3875598086124402,0.7081339712918661,0.722488038277512,0.49760765550239233,0.5502392344497608,0.3875598086124402
100,0.8545454545454545,0.8544292614043176,0.4673913043478261,0.36216347538122995,0.9090909090909091,0.9856459330143541,0.8373205741626795,0.7990430622009569,0.7416267942583732,0.9090909090909091,0.9856459330143541,0.8373205741626795,0.7990430622009569,0.7416267942583732
150,0.9023923444976076,0.9014085177778073,0.5706521739130435,0.539244600735284,0.9138755980861244,0.9904306220095693,0.9760765550239234,0.7799043062200957,0.8516746411483254,0.9138755980861244,0.9904306220095693,0.9760765550239234,0.7799043062200957,0.8516746411483254
200,0.9234449760765551,0.9228948096457357,0.5217391304347826,0.5225402554047056,0.937799043062201,1.0,0.9425837320574163,0.784688995215311,0.9521531100478469,0.937799043062201,1.0,0.9425837320574163,0.784688995215311,0.9521531100478469
250,0.9444976076555024,0.9445224944222631,0.657608695652174,0.6502363908500647,0.9330143540669856,0.9808612440191388,0.9904306220095693,0.8851674641148325,0.9330143540669856,0.9330143540669856,0.9808612440191388,0.9904306220095693,0.8851674641148325,0.9330143540669856
300,0.9301435406698565,0.9302556930740647,0.7119565217391305,0.7145381398533247,0.9043062200956937,0.9760765550239234,1.0,0.861244019138756,0.9090909090909091,0.9043062200956937,0.9760765550239234,1.0,0.861244019138756,0.9090909090909091
350,0.939712918660287,0.938681776988898,0.7391304347826086,0.7450037836834715,0.937799043062201,0.9904306220095693,1.0,0.8038277511961722,0.9665071770334929,0.937799043062201,0.9904306220095693,1.0,0.8038277511961722,0.9665071770334929
400,0.9598086124401913,0.9595957676317729,0.8532608695652174,0.8585602817018503,0.9617224880382775,0.9808612440191388,1.0,0.8708133971291866,0.9856459330143541,0.9617224880382775,0.9808612440191388,1.0,0.8708133971291866,0.9856459330143541
450,0.9368421052631579,0.9363409245899443,0.6739130434782609,0.6730510033912681,0.9330143540669856,0.9856459330143541,1.0,0.9473684210526315,0.8181818181818182,0.9330143540669856,0.9856459330143541,1.0,0.9473684210526315,0.8181818181818182
500,0.9540669856459331,0.9538412743271639,0.8695652173913043,0.8736058716199423,0.9425837320574163,0.9904306220095693,1.0,0.8755980861244019,0.9617224880382775,0.9425837320574163,0.9904306220095693,1.0,0.8755980861244019,0.9617224880382775
550,0.9559808612440192,0.9558130752333425,0.8478260869565217,0.8521281944032566,0.9473684210526315,0.9856459330143541,1.0,0.9186602870813397,0.9282296650717703,0.9473684210526315,0.9856459330143541,1.0,0.9186602870813397,0.9282296650717703
600,0.9617224880382775,0.9615463611524071,0.8641304347826086,0.8690630230032402,0.9617224880382775,0.9808612440191388,1.0,0.8708133971291866,0.9952153110047847,0.9617224880382775,0.9808612440191388,1.0,0.8708133971291866,0.9952153110047847
650,0.9645933014354067,0.9645126657263717,0.7934782608695652,0.8034955282376298,0.9521531100478469,0.9904306220095693,1.0,0.9473684210526315,0.9330143540669856,0.9521531100478469,0.9904306220095693,1.0,0.9473684210526315,0.9330143540669856
700,0.9636363636363636,0.963585940643803,0.8260869565217391,0.8326790796963948,0.9617224880382775,0.9904306220095693,1.0,0.9569377990430622,0.9090909090909091,0.9617224880382775,0.9904306220095693,1.0,0.9569377990430622,0.9090909090909091
750,0.9617224880382775,0.9615504963925505,0.8478260869565217,0.8491475382975717,0.9712918660287081,0.9808612440191388,1.0,0.8947368421052632,0.9617224880382775,0.9712918660287081,0.9808612440191388,1.0,0.8947368421052632,0.9617224880382775
800,0.9732057416267943,0.9730902768405135,0.8532608695652174,0.858857581319931,0.9521531100478469,1.0,1.0,0.9473684210526315,0.9665071770334929,0.9521531100478469,1.0,1.0,0.9473684210526315,0.9665071770334929
850,0.9789473684210527,0.9789076786181814,0.8641304347826086,0.867094805049484,0.9617224880382775,0.9904306220095693,1.0,0.9521531100478469,0.9904306220095693,0.9617224880382775,0.9904306220095693,1.0,0.9521531100478469,0.9904306220095693
900,0.9406698564593301,0.9398128733010417,0.7989130434782609,0.807577805359223,0.9665071770334929,0.9904306220095693,1.0,0.7464114832535885,1.0,0.9665071770334929,0.9904306220095693,1.0,0.7464114832535885,1.0
950,0.9779904306220095,0.9779374187614943,0.8586956521739131,0.862881774664846,0.9760765550239234,0.9952153110047847,1.0,0.937799043062201,0.9808612440191388,0.9760765550239234,0.9952153110047847,1.0,0.937799043062201,0.9808612440191388
1000,0.9741626794258373,0.9740331636273124,0.842391304347826,0.8476297199562695,0.9712918660287081,0.9952153110047847,1.0,0.9090909090909091,0.9952153110047847,0.9712918660287081,0.9952153110047847,1.0,0.9090909090909091,0.9952153110047847
