,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.2,0.06666666666666667,0.1358695652173913,0.03250468067401706,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,0.9215311004784689,0.9201565038490336,0.7336956521739131,0.7473760315211769,0.9521531100478469,0.9712918660287081,0.9856459330143541,0.722488038277512,0.9760765550239234,0.9521531100478469,0.9712918660287081,0.9856459330143541,0.722488038277512,0.9760765550239234
100,0.9722488038277513,0.9722484511619229,0.782608695652174,0.7914700633779759,0.9808612440191388,0.9856459330143541,1.0,0.9138755980861244,0.9808612440191388,0.9808612440191388,0.9856459330143541,1.0,0.9138755980861244,0.9808612440191388
150,0.9856459330143541,0.985665295189006,0.8315217391304348,0.8321363471466815,0.9904306220095693,0.9904306220095693,1.0,0.9952153110047847,0.9521531100478469,0.9904306220095693,0.9904306220095693,1.0,0.9952153110047847,0.9521531100478469
200,0.9827751196172249,0.9827871494581194,0.8478260869565217,0.8489028831076567,0.9952153110047847,0.9952153110047847,1.0,1.0,0.9234449760765551,0.9952153110047847,0.9952153110047847,1.0,1.0,0.9234449760765551
250,0.9760765550239234,0.9760314539185404,0.8478260869565217,0.8460629719288526,0.9904306220095693,0.9856459330143541,1.0,0.9043062200956937,1.0,0.9904306220095693,0.9856459330143541,1.0,0.9043062200956937,1.0
300,0.9875598086124402,0.9875762983666073,0.8586956521739131,0.8510393917266722,0.9904306220095693,0.9952153110047847,1.0,1.0,0.9521531100478469,0.9904306220095693,0.9952153110047847,1.0,1.0,0.9521531100478469
350,0.9904306220095693,0.9904258571165048,0.875,0.8699126819258034,0.9904306220095693,0.9952153110047847,1.0,0.9760765550239234,0.9904306220095693,0.9904306220095693,0.9952153110047847,1.0,0.9760765550239234,0.9904306220095693
400,0.9837320574162679,0.9837440927340475,0.8586956521739131,0.8491507975869854,0.9952153110047847,1.0,1.0,1.0,0.9234449760765551,0.9952153110047847,1.0,1.0,1.0,0.9234449760765551
450,0.968421052631579,0.968395378514538,0.875,0.8706125847517466,0.9952153110047847,0.9904306220095693,1.0,1.0,0.8564593301435407,0.9952153110047847,0.9904306220095693,1.0,1.0,0.8564593301435407
500,0.9923444976076555,0.9923511035079127,0.8641304347826086,0.8621772816122101,0.9904306220095693,1.0,1.0,0.9904306220095693,0.9808612440191388,0.9904306220095693,1.0,1.0,0.9904306220095693,0.9808612440191388
550,0.9827751196172249,0.9827848436104898,0.8586956521739131,0.8588905271244237,0.9904306220095693,1.0,1.0,1.0,0.9234449760765551,0.9904306220095693,1.0,1.0,1.0,0.9234449760765551
600,0.9942583732057416,0.9942628424207371,0.8641304347826086,0.8608619188154304,0.9952153110047847,1.0,1.0,0.9904306220095693,0.9856459330143541,0.9952153110047847,1.0,1.0,0.9904306220095693,0.9856459330143541
650,0.9904306220095693,0.9904303703809421,0.875,0.8687760807176141,0.9904306220095693,0.9952153110047847,1.0,0.9760765550239234,0.9904306220095693,0.9904306220095693,0.9952153110047847,1.0,0.9760765550239234,0.9904306220095693
700,0.9894736842105263,0.9894215111770018,0.8913043478260869,0.8848510158066175,0.9952153110047847,1.0,1.0,0.9569377990430622,0.9952153110047847,0.9952153110047847,1.0,1.0,0.9569377990430622,0.9952153110047847
750,0.9952153110047847,0.9952175564486909,0.8478260869565217,0.8423206386258767,0.9904306220095693,0.9952153110047847,1.0,0.9952153110047847,0.9952153110047847,0.9904306220095693,0.9952153110047847,1.0,0.9952153110047847,0.9952153110047847
800,0.9894736842105263,0.989487259378116,0.8641304347826086,0.8652076532167746,0.9904306220095693,1.0,1.0,1.0,0.9569377990430622,0.9904306220095693,1.0,1.0,1.0,0.9569377990430622
850,0.9942583732057416,0.9942467779263424,0.8695652173913043,0.8670606852424111,0.9904306220095693,1.0,1.0,0.9808612440191388,1.0,0.9904306220095693,1.0,1.0,0.9808612440191388,1.0
900,0.9942583732057416,0.9942536849115797,0.8804347826086957,0.8775741997223648,0.9952153110047847,1.0,1.0,0.9808612440191388,0.9952153110047847,0.9952153110047847,1.0,1.0,0.9808612440191388,0.9952153110047847
950,0.9894736842105263,0.9894611349436951,0.8695652173913043,0.8676786417092006,0.9904306220095693,0.9952153110047847,1.0,0.9665071770334929,0.9952153110047847,0.9904306220095693,0.9952153110047847,1.0,0.9665071770334929,0.9952153110047847
1000,0.9952153110047847,0.9952059995864808,0.8641304347826086,0.8591329004579089,0.9952153110047847,1.0,1.0,0.9808612440191388,1.0,0.9952153110047847,1.0,1.0,0.9808612440191388,1.0
