,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.21818181818181817,0.1362980619776942,0.21195652173913043,0.14783227163089863,0.861244019138756,0.004784688995215311,0.07177033492822966,0.03827751196172249,0.11483253588516747,0.861244019138756,0.004784688995215311,0.07177033492822966,0.03827751196172249,0.11483253588516747
50,0.6468899521531101,0.6448534553212716,0.47282608695652173,0.401059683160256,0.7655502392344498,0.6650717703349283,0.7894736842105263,0.49760765550239233,0.5167464114832536,0.7655502392344498,0.6650717703349283,0.7894736842105263,0.49760765550239233,0.5167464114832536
100,0.8382775119617225,0.8368126256210702,0.483695652173913,0.38587355212186975,0.9234449760765551,0.9330143540669856,0.8947368421052632,0.7033492822966507,0.7368421052631579,0.9234449760765551,0.9330143540669856,0.8947368421052632,0.7033492822966507,0.7368421052631579
150,0.8937799043062201,0.8932374396063595,0.5815217391304348,0.5574132298314729,0.9090909090909091,0.9665071770334929,0.9569377990430622,0.7751196172248804,0.861244019138756,0.9090909090909091,0.9665071770334929,0.9569377990430622,0.7751196172248804,0.861244019138756
200,0.9196172248803828,0.9186900258572523,0.6467391304347826,0.6539394255834543,0.9138755980861244,0.9904306220095693,0.9904306220095693,0.8229665071770335,0.8803827751196173,0.9138755980861244,0.9904306220095693,0.9904306220095693,0.8229665071770335,0.8803827751196173
250,0.9110047846889953,0.9097607895634784,0.7119565217391305,0.7205839701094807,0.9138755980861244,0.9952153110047847,1.0,0.84688995215311,0.7990430622009569,0.9138755980861244,0.9952153110047847,1.0,0.84688995215311,0.7990430622009569
300,0.8985645933014355,0.8973101238619676,0.8097826086956522,0.8059614200798556,0.9138755980861244,0.9760765550239234,1.0,0.8660287081339713,0.7368421052631579,0.9138755980861244,0.9760765550239234,1.0,0.8660287081339713,0.7368421052631579
350,0.9416267942583733,0.9409738069241795,0.7771739130434783,0.7829342028426697,0.9186602870813397,0.9904306220095693,1.0,0.8421052631578947,0.9569377990430622,0.9186602870813397,0.9904306220095693,1.0,0.8421052631578947,0.9569377990430622
400,0.9464114832535885,0.9459614193634305,0.7934782608695652,0.7963610693687303,0.9186602870813397,0.9904306220095693,1.0,0.8660287081339713,0.9569377990430622,0.9186602870813397,0.9904306220095693,1.0,0.8660287081339713,0.9569377990430622
450,0.9349282296650717,0.9334795002710591,0.8097826086956522,0.809185940877479,0.9186602870813397,0.9952153110047847,1.0,0.7799043062200957,0.9808612440191388,0.9186602870813397,0.9952153110047847,1.0,0.7799043062200957,0.9808612440191388
500,0.9483253588516747,0.9481239693996162,0.8097826086956522,0.8101066537439341,0.937799043062201,0.9952153110047847,1.0,0.9186602870813397,0.8899521531100478,0.937799043062201,0.9952153110047847,1.0,0.9186602870813397,0.8899521531100478
550,0.9626794258373206,0.9626556972661897,0.7554347826086957,0.7651989344308447,0.9330143540669856,0.9952153110047847,1.0,0.9282296650717703,0.9569377990430622,0.9330143540669856,0.9952153110047847,1.0,0.9282296650717703,0.9569377990430622
600,0.9655502392344497,0.9653684521368691,0.8043478260869565,0.8064470503965069,0.9521531100478469,0.9952153110047847,1.0,0.9234449760765551,0.9569377990430622,0.9521531100478469,0.9952153110047847,1.0,0.9234449760765551,0.9569377990430622
650,0.9645933014354067,0.9643824516132703,0.7934782608695652,0.7942811264822133,0.9330143540669856,0.9952153110047847,1.0,0.9043062200956937,0.9904306220095693,0.9330143540669856,0.9952153110047847,1.0,0.9043062200956937,0.9904306220095693
700,0.9789473684210527,0.9789065429611462,0.7880434782608695,0.7948125527318075,0.9856459330143541,0.9952153110047847,1.0,0.9712918660287081,0.9425837320574163,0.9856459330143541,0.9952153110047847,1.0,0.9712918660287081,0.9425837320574163
750,0.9808612440191388,0.9808611181290223,0.782608695652174,0.7904242863652471,0.9760765550239234,0.9952153110047847,1.0,0.9617224880382775,0.9712918660287081,0.9760765550239234,0.9952153110047847,1.0,0.9617224880382775,0.9712918660287081
800,0.9760765550239234,0.9762291566692785,0.7282608695652174,0.7389364828623141,0.9712918660287081,0.9952153110047847,1.0,0.9760765550239234,0.937799043062201,0.9712918660287081,0.9952153110047847,1.0,0.9760765550239234,0.937799043062201
850,0.9760765550239234,0.9759003571751443,0.7934782608695652,0.7937798993091036,0.9808612440191388,0.9952153110047847,1.0,0.9186602870813397,0.9856459330143541,0.9808612440191388,0.9952153110047847,1.0,0.9186602870813397,0.9856459330143541
900,0.9779904306220095,0.9779639874030647,0.7880434782608695,0.7923327343532481,0.9425837320574163,0.9952153110047847,1.0,0.9808612440191388,0.9712918660287081,0.9425837320574163,0.9952153110047847,1.0,0.9808612440191388,0.9712918660287081
950,0.9818181818181818,0.9817680976207633,0.782608695652174,0.7815764020561506,0.9904306220095693,0.9952153110047847,1.0,0.9473684210526315,0.9760765550239234,0.9904306220095693,0.9952153110047847,1.0,0.9473684210526315,0.9760765550239234
1000,0.9808612440191388,0.9809784817917351,0.7554347826086957,0.7642307617562322,0.9808612440191388,0.9856459330143541,1.0,0.9904306220095693,0.9473684210526315,0.9808612440191388,0.9856459330143541,1.0,0.9904306220095693,0.9473684210526315
