,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.18947368421052632,0.1732049507261812,0.15217391304347827,0.13857744647422887,0.07177033492822966,0.24880382775119617,0.12440191387559808,0.07655502392344497,0.4258373205741627,0.07177033492822966,0.24880382775119617,0.12440191387559808,0.07655502392344497,0.4258373205741627
50,0.8909090909090909,0.889348535600028,0.7282608695652174,0.7433263602906246,0.937799043062201,0.937799043062201,0.9904306220095693,0.7177033492822966,0.8708133971291866,0.937799043062201,0.937799043062201,0.9904306220095693,0.7177033492822966,0.8708133971291866
100,0.9330143540669856,0.9320008638450765,0.7445652173913043,0.7584278827442622,0.9617224880382775,0.9856459330143541,1.0,0.7942583732057417,0.9234449760765551,0.9617224880382775,0.9856459330143541,1.0,0.7942583732057417,0.9234449760765551
150,0.9473684210526315,0.9464955964409403,0.7663043478260869,0.7754823670832718,0.9760765550239234,0.9952153110047847,1.0,0.8133971291866029,0.9521531100478469,0.9760765550239234,0.9952153110047847,1.0,0.8133971291866029,0.9521531100478469
200,0.9550239234449761,0.9544436374107018,0.782608695652174,0.7915061729462333,0.9760765550239234,0.9952153110047847,1.0,0.8516746411483254,0.9521531100478469,0.9760765550239234,0.9952153110047847,1.0,0.8516746411483254,0.9521531100478469
250,0.9617224880382775,0.9612176698513046,0.7880434782608695,0.7952481095365027,0.9665071770334929,0.9904306220095693,1.0,0.8660287081339713,0.9856459330143541,0.9665071770334929,0.9904306220095693,1.0,0.8660287081339713,0.9856459330143541
300,0.9722488038277513,0.9720325479019714,0.7989130434782609,0.803926283325778,0.9856459330143541,0.9952153110047847,1.0,0.9090909090909091,0.9712918660287081,0.9856459330143541,0.9952153110047847,1.0,0.9090909090909091,0.9712918660287081
350,0.9741626794258373,0.9739474240692759,0.8097826086956522,0.8140012257338497,0.9808612440191388,0.9952153110047847,1.0,0.9138755980861244,0.9808612440191388,0.9808612440191388,0.9952153110047847,1.0,0.9138755980861244,0.9808612440191388
400,0.969377990430622,0.9690144785104026,0.8043478260869565,0.8080097651708904,0.9856459330143541,0.9952153110047847,1.0,0.8803827751196173,0.9856459330143541,0.9856459330143541,0.9952153110047847,1.0,0.8803827751196173,0.9856459330143541
450,0.9732057416267943,0.9730293812755543,0.8043478260869565,0.8080097651708904,0.9760765550239234,0.9952153110047847,1.0,0.9138755980861244,0.9808612440191388,0.9760765550239234,0.9952153110047847,1.0,0.9138755980861244,0.9808612440191388
500,0.9712918660287081,0.9710705633761382,0.8097826086956522,0.8129055884254371,0.9808612440191388,0.9952153110047847,1.0,0.9090909090909091,0.9712918660287081,0.9808612440191388,0.9952153110047847,1.0,0.9090909090909091,0.9712918660287081
550,0.9732057416267943,0.9729371958458805,0.8097826086956522,0.8129055884254371,0.9856459330143541,0.9952153110047847,1.0,0.9043062200956937,0.9808612440191388,0.9856459330143541,0.9952153110047847,1.0,0.9043062200956937,0.9808612440191388
600,0.9751196172248804,0.9749005299528716,0.8206521739130435,0.8245363718652975,0.9808612440191388,0.9952153110047847,1.0,0.9138755980861244,0.9856459330143541,0.9808612440191388,0.9952153110047847,1.0,0.9138755980861244,0.9856459330143541
650,0.9751196172248804,0.9748617009608105,0.8097826086956522,0.8129055884254371,0.9856459330143541,0.9952153110047847,1.0,0.9090909090909091,0.9856459330143541,0.9856459330143541,0.9952153110047847,1.0,0.9090909090909091,0.9856459330143541
700,0.9741626794258373,0.9739499080917308,0.8097826086956522,0.8129055884254371,0.9808612440191388,0.9952153110047847,1.0,0.9138755980861244,0.9808612440191388,0.9808612440191388,0.9952153110047847,1.0,0.9138755980861244,0.9808612440191388
750,0.9818181818181818,0.9816532623311711,0.8097826086956522,0.8129055884254371,0.9904306220095693,1.0,1.0,0.9234449760765551,0.9952153110047847,0.9904306220095693,1.0,1.0,0.9234449760765551,0.9952153110047847
800,0.9751196172248804,0.9749627610192455,0.8152173913043478,0.8175726779328775,0.9904306220095693,0.9952153110047847,1.0,0.9234449760765551,0.9665071770334929,0.9904306220095693,0.9952153110047847,1.0,0.9234449760765551,0.9665071770334929
850,0.9779904306220095,0.9778811134585976,0.8097826086956522,0.8129055884254371,0.9856459330143541,0.9952153110047847,1.0,0.9282296650717703,0.9808612440191388,0.9856459330143541,0.9952153110047847,1.0,0.9282296650717703,0.9808612440191388
900,0.9799043062200957,0.9798274883224398,0.8097826086956522,0.8129055884254371,0.9856459330143541,0.9952153110047847,1.0,0.937799043062201,0.9808612440191388,0.9856459330143541,0.9952153110047847,1.0,0.937799043062201,0.9808612440191388
950,0.9789473684210527,0.9788444009915647,0.8152173913043478,0.8175726779328775,0.9856459330143541,0.9952153110047847,1.0,0.9330143540669856,0.9808612440191388,0.9856459330143541,0.9952153110047847,1.0,0.9330143540669856,0.9808612440191388
1000,0.9779904306220095,0.9778677226286199,0.8152173913043478,0.8175726779328775,0.9904306220095693,0.9952153110047847,1.0,0.9234449760765551,0.9808612440191388,0.9904306220095693,0.9952153110047847,1.0,0.9234449760765551,0.9808612440191388
