,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.22200956937799043,0.12447928331466968,0.05434782608695652,0.005602868668758404,0.0,0.3875598086124402,0.0,0.0,0.722488038277512,0.0,0.3875598086124402,0.0,0.0,0.722488038277512
50,0.9272727272727272,0.9272171864565221,0.7663043478260869,0.776927057994706,0.9617224880382775,0.9712918660287081,0.9665071770334929,0.784688995215311,0.9521531100478469,0.9617224880382775,0.9712918660287081,0.9665071770334929,0.784688995215311,0.9521531100478469
100,0.9655502392344497,0.96555807388142,0.6902173913043478,0.6918103145293415,0.9808612440191388,0.9760765550239234,0.9904306220095693,0.8947368421052632,0.9856459330143541,0.9808612440191388,0.9760765550239234,0.9904306220095693,0.8947368421052632,0.9856459330143541
150,0.9818181818181818,0.9818255160788163,0.7771739130434783,0.7834283639374107,0.9808612440191388,0.9952153110047847,0.9904306220095693,0.9617224880382775,0.9808612440191388,0.9808612440191388,0.9952153110047847,0.9904306220095693,0.9617224880382775,0.9808612440191388
200,0.9846889952153111,0.9846624320928002,0.8369565217391305,0.8420980806457191,0.9856459330143541,0.9952153110047847,1.0,0.9521531100478469,0.9904306220095693,0.9856459330143541,0.9952153110047847,1.0,0.9521531100478469,0.9904306220095693
250,0.9875598086124402,0.9875577927229233,0.875,0.877666850666579,0.9904306220095693,0.9952153110047847,1.0,0.9904306220095693,0.9617224880382775,0.9904306220095693,0.9952153110047847,1.0,0.9904306220095693,0.9617224880382775
300,0.9856459330143541,0.9856216865181233,0.8695652173913043,0.8709028557562317,0.9760765550239234,0.9952153110047847,1.0,0.9665071770334929,0.9904306220095693,0.9760765550239234,0.9952153110047847,1.0,0.9665071770334929,0.9904306220095693
350,0.9856459330143541,0.9856262275000931,0.8695652173913043,0.8729993352583144,0.9904306220095693,0.9952153110047847,1.0,0.9521531100478469,0.9904306220095693,0.9904306220095693,0.9952153110047847,1.0,0.9521531100478469,0.9904306220095693
400,0.9904306220095693,0.9904209149651452,0.8804347826086957,0.8793424814806494,0.9952153110047847,0.9952153110047847,1.0,0.9712918660287081,0.9904306220095693,0.9952153110047847,0.9952153110047847,1.0,0.9712918660287081,0.9904306220095693
450,0.9866028708133971,0.9866175959000153,0.8804347826086957,0.881513340758066,0.9952153110047847,1.0,0.9904306220095693,0.9569377990430622,0.9904306220095693,0.9952153110047847,1.0,0.9904306220095693,0.9569377990430622,0.9904306220095693
500,0.9875598086124402,0.9875412857560183,0.8804347826086957,0.8802746166876602,0.9952153110047847,0.9952153110047847,1.0,0.9569377990430622,0.9904306220095693,0.9952153110047847,0.9952153110047847,1.0,0.9569377990430622,0.9904306220095693
550,0.9933014354066986,0.9933003590004081,0.8532608695652174,0.8432356288832297,1.0,1.0,1.0,0.9952153110047847,0.9712918660287081,1.0,1.0,1.0,0.9952153110047847,0.9712918660287081
600,0.9866028708133971,0.9865764871760891,0.8804347826086957,0.8784117844869302,0.9952153110047847,0.9952153110047847,1.0,0.9473684210526315,0.9952153110047847,0.9952153110047847,0.9952153110047847,1.0,0.9473684210526315,0.9952153110047847
650,0.9923444976076555,0.9923434157244798,0.8641304347826086,0.8638359607456709,1.0,0.9952153110047847,1.0,0.9952153110047847,0.9712918660287081,1.0,0.9952153110047847,1.0,0.9952153110047847,0.9712918660287081
700,0.9913875598086125,0.9913825089881622,0.8641304347826086,0.8635930599541186,0.9904306220095693,0.9952153110047847,1.0,0.9760765550239234,0.9952153110047847,0.9904306220095693,0.9952153110047847,1.0,0.9760765550239234,0.9952153110047847
750,0.8124401913875599,0.7829385796424043,0.8043478260869565,0.7936331420198836,0.17703349282296652,0.9952153110047847,1.0,1.0,0.8899521531100478,0.17703349282296652,0.9952153110047847,1.0,1.0,0.8899521531100478
800,0.9933014354066986,0.9932991078087632,0.8641304347826086,0.8629400000619283,0.9952153110047847,0.9952153110047847,1.0,0.9856459330143541,0.9904306220095693,0.9952153110047847,0.9952153110047847,1.0,0.9856459330143541,0.9904306220095693
850,0.9913875598086125,0.9913804281085752,0.8641304347826086,0.8619280295332455,0.9952153110047847,0.9952153110047847,1.0,0.9760765550239234,0.9904306220095693,0.9952153110047847,0.9952153110047847,1.0,0.9760765550239234,0.9904306220095693
900,0.9913875598086125,0.9913825089881622,0.8641304347826086,0.8619280295332455,0.9904306220095693,0.9952153110047847,1.0,0.9760765550239234,0.9952153110047847,0.9904306220095693,0.9952153110047847,1.0,0.9760765550239234,0.9952153110047847
950,0.9598086124401913,0.959330718396892,0.8260869565217391,0.8331017836419123,0.9856459330143541,0.9952153110047847,1.0,0.8229665071770335,0.9952153110047847,0.9856459330143541,0.9952153110047847,1.0,0.8229665071770335,0.9952153110047847
1000,0.9952153110047847,0.995214954977157,0.8586956521739131,0.8557513194635149,1.0,0.9952153110047847,1.0,1.0,0.9808612440191388,1.0,0.9952153110047847,1.0,1.0,0.9808612440191388
