,aggregate
A4GALT|53947,0.0034459870779903756
AADAT,0.008810269020756257
AAGAB,0.004888442635011319
AAGAB|79719,0.0023747162116347304
AATK|9625,0.0042728876618002825
ABCA7,0.003907272447916051
ABCB6|10058,0.0029149901255796657
ABCC10,0.0040475164746396185
ABCC4,0.006886858092218502
ABCC5,0.0028807328219867053
ABCC6P1,0.004584659302543733
ABHD13|84945,0.0035117999657115224
ABHD14B;ABHD14A,0.004461675784460503
ABHD3|171586,0.0058305823302664825
ABLIM3|22885,0.007430689787570379
ABO,0.00407590101129914
ABTB1;PODXL2,0.004685346238948908
ACACB|32,0.007546090726555709
ACADVL;DLG4,0.003925864688048298
ACADVL;MIR324,0.0047916785547076615
ACAP1,0.008404181369978472
ACAP3|116983,0.0046076384728386335
ACCN2,0.00417003102538971
ACOT11|26027,0.003146466578701675
ACOT2,0.003855901731203997
ACOT4|122970,0.005509981850132916
ACOX1;FBF1,0.015084529305571151
ACP6|51205,0.005299649012722255
ACRC|93953,0.003582389283324868
ACSM1,0.004995419950053808
ACSS1|84532,0.0065027129802981
ACTR1B|10120,0.0033579475775446406
ACTR3,0.0041420017443641426
ACTR3C|653857,0.005438310260710264
ACTR5|79913,0.004082648080102796
ACVR2B,0.004355821152067958
ACY1|95,0.004422941640946903
ACYP1|97,0.0038048145100172672
ADAM22,0.0054245551167149
ADAMTS4|9507,0.004936954802316221
ADAMTS7|11173,0.004401420088530842
ADAMTS8,0.004032619328871522
ADAT1,0.0035006019112325
ADH1B,0.009755385922553513
ADI1,0.003258273881933716
ADM,0.005076661592872681
ADPRHL1|113622,0.0023826495125100727
ADRBK2,0.003813570218821288
AEN|64782,0.0034366309361667314
AFAP1;LOC84740,0.003734970721836844
AFARP1;SLC16A1,0.0023877427272961404
AFF4,0.00381688718998562
AGPAT5|55326,0.006290924495819125
AGPHD1|123688,0.004140879418096934
AGRP,0.0036988911304996295
AIFM2,0.004141238302206842
AIMP1,0.006598020018254844
AIMP1|9255,0.0029342199344902157
AKAP11,0.004345128307844409
AKR7A2,0.008593541949751813
AKR7A3,0.004394851534292173
ALAD|210,0.0040971771588139
ALDH16A1;PIH1D1,0.004110478363656709
ALDH5A1|7915,0.00454434615065833
ALDH7A1|501,0.0038451481186293096
ALDH9A1|223,0.00319245660907536
ALG11;UTP14C,0.005046430964579366
ALG2|85365,0.002955773749108633
ALG8|79053,0.004401992144341314
ALG9|79796,0.0043630585709786215
ALKBH5,0.004115024541194501
ALS2|57679,0.004429925276543075
AMBN,0.005337899796844637
AMD1|262,0.005736312526270477
AMOT|154796,0.006221137495354053
AMPD1,0.009520745550208936
AMPD2,0.003233990734574208
ANKDD1A,0.004928440135801287
ANKRD10|55608,0.004492514674587083
ANKRD13A,0.004483733872103914
ANKRD13B|124930,0.003529028374323334
ANKRD29|147463,0.012340630500160554
ANKRD36BL1,0.003979247672862156
ANKRD37|353322,0.004485706846299354
ANKRD42|338699,0.004443196904657106
ANKRD52|283373,0.005581486254393907
ANKRD54|129138,0.0033193868591229296
ANO10|55129,0.00350517217185675
ANP32A|8125,0.003527454249994933
ANP32D,0.007567099387325596
ANXA2|302,0.0033478101385633224
ANXA8L2,0.009554364790678602
AOC2;AOC3,0.0062207165606216
AP1M1|8907,0.004247066632199795
AP3D1|8943,0.0038479899752190314
AP3M2,0.004515834018722032
AP3M2|10947,0.004628551043086545
AP4B1|10717,0.005109844615692123
AP4E1|23431,0.0028461066332305203
APBB2|323,0.0039915942564104755
APEX1;OSGEP,0.004382093963199325
APH1B|83464,0.004483636928870181
APIP|51074,0.004341236082405901
APLP1,0.003399339757028822
APLP2|334,0.0031746203849299824
APOA1,0.006355381037035533
APOC1|341,0.006120367437283941
APOE,0.005418476554548019
AQP6,0.0047928824361285075
ARF4|378,0.0028104777215262563
ARFGAP2|84364,0.004823461926383314
ARFRP1;ZGPAT,0.0037864890415971967
ARHGAP4,0.005800372135855015
ARHGEF1,0.004721740168041777
ARHGEF11|9826,0.003981036886561463
ARIH2|10425,0.003624821424673111
ARL2BP|23568,0.0036477568852635108
ARL6IP1,0.0033147280594958382
ARL6IP6|151188,0.004272091052537368
ARMCX3,0.0066357935016336305
ARNT2,0.0030477773498989247
ARNT|405,0.00292374779534194
ARPC1A,0.005072200907829741
ARPC4;TADA3,0.004062244966659357
ARSK|153642,0.005696104992147354
ARV1,0.007753664987539067
ASAH2,0.004941709188001813
ASAP1|50807,0.0045699015916798764
ASAP3|55616,0.0050380591886887965
ASB16;C17orf65,0.004465592359863418
ASCC2|84164,0.003192631349499049
ASRGL1,0.0042718891949766555
ASTE1|28990,0.0031536178652169394
ATAD2B|54454,0.0037843584692731284
ATAD3C|219293,0.013849822924143345
ATF1|466,0.003593713764851779
ATG4A|115201,0.0030672985485156457
ATP10D|57205,0.004346568282308319
ATP1A3,0.004179498590656925
ATP5B|506,0.0035253188499134065
ATP5H|10476,0.0037363726124616517
ATP5O|539,0.003419183944820004
ATP6AP2|10159,0.0043660383839655564
ATP6V1A|523,0.002866191342547497
ATP6V1D|51382,0.004598356212630571
ATP7B|540,0.008225639513530489
ATP8B1|5205,0.004314215535855066
ATXN10|25814,0.004835673223213318
ATXN1|6310,0.004361653270122536
ATXN2,0.003071120964325365
ATXN7L3B|552889,0.0054770299586182555
AVL9|23080,0.0028757470492191705
AWAT1,0.005292857109158647
AXIN1,0.002969314724360146
B3GALT4|8705,0.004778776279032665
B3GNT4,0.003603431179776567
B4GALNT4,0.0031653112963771304
B9D1|27077,0.004157259611344447
BACE1,0.003833838917483757
BASP1;LOC285696,0.00588975219094387
BAT4;CSNK2B,0.004515243458874383
BAZ2A;RBMS2,0.008753334982553974
BBS4|585,0.005185976449048122
BBX,0.004075567547072907
BCAM|4059,0.009053552700298832
BCAR1|9564,0.002186723204676032
BCAS2|10286,0.002975043553392366
BCORL1|63035,0.004330431419264674
BCR|613,0.003335621355568856
BDNF;BDNFOS,0.004623737011326485
BFSP1|631,0.003251243736003143
BGLAP|632,0.0049869682452484436
BOC|91653,0.010243776261676184
BPESC1,0.003661139230427138
BPTF|2186,0.003335999242162679
BRAP|8315,0.0038791552095812643
BRD9|65980,0.002634941176027035
BRF2|55290,0.005426545763323138
BRPF1|7862,0.002993588672705351
BSDC1|55108,0.004377679496706572
BST1,0.004588286483748993
BST2|684,0.0037924822347657136
BTBD10|84280,0.0017876497483641815
BTG2|7832,0.007472031522985681
BTK;TIMM8A,0.008596411630562576
BUB3,0.004966089940811795
C10orf111;RPP38,0.006015917219544138
C10orf113;NEBL,0.00394943436758167
C10orf116,0.006307707689078441
C10orf26|54838,0.003911848709918069
C10orf2;MRPL43,0.003516687054070437
C10orf32|119032,0.004760991912332372
C10orf41,0.006775587998547768
C10orf41;ZNF503,0.003916663758342764
C10orf88|80007,0.004796422728621914
C11orf1|64776,0.0041533825241806335
C11orf70,0.004686210298372224
C11orf94,0.00368058035862582
C12orf27,0.004172927104252763
C12orf41|54934,0.0034620611567581496
C12orf53,0.006227829051107288
C12orf5|57103,0.003940853466053445
C12orf72|254013,0.004146546243241121
C12orf76,0.00493950615114486
C13orf1,0.004039859480885451
C13orf29|283487,0.0053057502833481675
C13orf31|144811,0.004212175257927166
C14orf101|54916,0.004442277312890062
C14orf118|55668,0.0040176689163457235
C14orf1|11161,0.0048024147684691135
C14orf4,0.004439279933946853
C14orf45|80127,0.005636515670855503
C14orf49,0.003803393513662077
C14orf64,0.008951162471223479
C14orf80,0.003825953476431651
C15orf40,0.0045688236344116106
C15orf40|123207,0.003523698688012413
C15orf48;MIR147B,0.009904042021033916
C15orf50,0.003987116268812006
C15orf61|145853,0.0038590615731830757
C16orf42|115939,0.004826925874496111
C16orf53;PRRT2,0.0032073282390488486
C16orf7,0.005749330121908392
C16orf71|146562,0.011378157932376422
C17orf54,0.004641074422903133
C17orf62,0.003939385319646612
C17orf67,0.004250296302573411
C17orf67|339210,0.005428012012871468
C17orf77;CD300LD,0.008013499444513595
C17orf81,0.004320119852638738
C18orf1,0.003323418435586765
C18orf8|29919,0.003439597878720902
C19orf53,0.003912979539884346
C19orf57|79173,0.006874254030943638
C1QTNF7,0.007031152837796007
C1orf103|55791,0.003681139654791405
C1orf216|127703,0.0028938337720216182
C1orf92,0.005593966589350822
C20orf111|51526,0.003008998595052273
C20orf141;LOC100288797,0.003904562112283814
C20orf144;NECAB3,0.0030808227170665706
C20orf194,0.003822328253082096
C20orf196,0.004336923019556066
C20orf4|25980,0.0028642830097288597
C20orf54|113278,0.005551112536302894
C20orf71,0.010012261561778289
C21orf130,0.033621580647077765
C21orf29;KRTAP10-5,0.016622163219168064
C21orf67|84536,0.004112999302002493
C2orf16,0.005607498910179896
C2orf24|27013,0.004098420679725928
C2orf55|343990,0.0069219368410477254
C2orf64|493753,0.003201807665131566
C2orf66,0.00619738874779613
C2orf72,0.005247355800570704
C2orf79|391356,0.00313768561059916
C2orf7|84279,0.004872355991835208
C2orf80,0.004297964050294525
C2orf89,0.004791211849516616
C3orf17,0.003744102277597551
C3orf21,0.00287146147240498
C3orf34|84984,0.004405459632746371
C3orf39|84892,0.004148022946426947
C3orf42|84657,0.0048377425812203825
C3orf47|339942,0.006434097902349835
C3orf49,0.004654638256631655
C3orf62|375341,0.0027399724437415715
C4A|720,0.010576901522658626
C4orf32|132720,0.005065654170655961
C4orf42;CTBP1,0.0032027334883315017
C4orf52,0.0045075831560305694
C4orf52|389203,0.0029989289986715843
C5orf25|375484,0.00419461355467792
C5orf33|133686,0.005415665593998103
C5orf39|389289,0.004440073296231722
C5orf53|492311,0.004908200389333761
C5orf54|63920,0.0040911405629892525
C6orf132|647024,0.005662874293710613
C6orf141,0.0033487338155133908
C6orf145|221749,0.006228768677367517
C6orf211|79624,0.007874939593532176
C6orf222,0.004061458912970495
C6orf48|50854,0.0027060615150254347
C6orf64,0.004411448388497355
C7orf10;C7orf11,0.0028726108902278067
C7orf50;GPER,0.006163982622296657
C7orf55|154791,0.003977344316892182
C7orf69;PKD1L1,0.012442696977982403
C8orf37,0.003085222656127674
C8orf39;RBM12B,0.0040860873384712506
C8orf42|157695,0.003260996818248031
C8orf55|51337,0.0033501982277642766
C8orf58;KIAA1967,0.0037026656973248463
C8orf76|84933,0.004799795834580133
C8orf84|157869,0.010527385418016053
C9orf153,0.004766106434446333
C9orf30|91283,0.004651083559300327
C9orf3|84909,0.0036645914925010036
C9orf4,0.006302931260734272
C9orf40,0.0035953285471708347
C9orf57,0.007266880659708368
C9orf66;DOCK8,0.011192940253619258
C9orf78;USP20,0.0037421738951233007
C9orf9,0.00456697151250337
CA5B,0.012930567970634719
CABYR,0.003603279076299444
CACNA1I,0.006010450818037808
CACNA2D2|9254,0.012624863165898293
CALB2,0.003807834423281407
CALCOCO1|57658,0.004187290794593188
CALM2|805,0.0033811961553014904
CAMK1D|57118,0.0033585498502694084
CAMKK1|84254,0.0038540325727154877
CAMKK2|10645,0.00398049702561302
CAMSAP1L1,0.004633272893363908
CAP1,0.004546953661095956
CAPN10,0.0036089087339043237
CAPN12|147968,0.004723659555753897
CAPN1|823,0.004495573718043131
CAPN2|824,0.0031392803228281587
CAPN7,0.0044049658872323105
CAPRIN1|4076,0.00417113935417924
CAPRIN2,0.004876098851776178
CAPZA2|830,0.004675117433658239
CARD10,0.0040871759156073705
CARD16|114769,0.004792778856086708
CARKD,0.005440530030761281
CASC1,0.013290494803994362
CBWD2|150472,0.003635505878057795
CC2D1A|54862,0.004641279292252389
CC2D2B,0.00427049642548223
CCAR1,0.0036169404624374554
CCDC101|112869,0.003331297898641847
CCDC102B|79839,0.004138016685483975
CCDC112|153733,0.005651670107708664
CCDC12,0.0049668262692132295
CCDC132|55610,0.004698679234612082
CCDC142,0.0035345532340097397
CCDC149,0.003461885908634988
CCDC22;CACNA1F,0.004973919759375097
CCDC34|91057,0.003964545451820043
CCDC48,0.002352653079352434
CCDC61;MIR769,0.004091048100411146
CCDC64|92558,0.007053616140008727
CCDC70,0.0045684552461080375
CCDC82;JRKL,0.007672654129486804
CCDC82|79780,0.006157401722081849
CCDC85A,0.0038749219219712775
CCDC9,0.0042773241332607044
CCDC93,0.0037410211457718718
CCKAR,0.005879844615212651
CCNT1,0.004541381180045601
CCR1|1230,0.005803771703756335
CCRN4L,0.0031250617511360585
CCT5|22948,0.005792649589393774
CCT6A|908,0.004370765746961595
CD19,0.0030733180634928826
CD24|100133941,0.00676715883883207
CD274,0.007181849185490767
CD276,0.004623673952120271
CD2AP,0.0027634920367909793
CD2AP|23607,0.005270402863933228
CD72,0.0046867409141350975
CDC123,0.02903841101301595
CDC123|8872,0.0028719323290078806
CDH11|1009,0.006519712988120664
CDH1|999,0.007889874128818395
CDK11A|728642,0.004012142315613308
CDK2AP1|8099,0.005852048109390447
CDK5RAP1|51654,0.002895101655325389
CDK5RAP3|80279,0.0034285591344683456
CDKL4,0.004895622636419127
CDKN1B|1027,0.004865663427443384
CDR2|1039,0.004026309088985094
CDYL|9425,0.0030990985867074797
CELSR1|9620,0.009730117513264065
CENPJ,0.0032201945790092832
CENPT,0.0029620578571657643
CEP120,0.004123811355994762
CEP135|9662,0.0033471689018634673
CEP170|9859,0.005447939187615492
CEP250|11190,0.003714503271844056
CEP350,0.0036779920179017896
CEPT1|10390,0.003203338136399612
CERK|64781,0.0051561872372599075
CHAT,0.01199857734657467
CHCHD10|400916,0.005044229577093093
CHCHD7|79145,0.005605961856853941
CHD8;SNORD9,0.004361130343265351
CHGA,0.006623109733382943
CHKB;CHKB-CPT1B;CPT1B,0.0036387328085670614
CHRNA4,0.0061961691050787466
CHST12|55501,0.004310554005306027
CHST2|9435,0.004489566583953841
CHTF8;HAS3,0.004341981090600687
CIRBP|1153,0.005601477413001281
CIT|11113,0.010858171845772053
CLCA2,0.005540313990604925
CLDN25,0.004903180934504912
CLEC3B,0.004566938217936165
CLGN,0.003881123661168666
CLIP1|6249,0.0029708815333842507
CLSTN2|64084,0.020745793212458695
CLTC,0.0048473812265303635
CMPK2|129607,0.0070603532868907075
CNGB3,0.005644727572841939
CNN1|1264,0.012821129199746862
CNN3|1266,0.0055457792162179175
CNOT2|4848,0.004981071024099636
CNOT7;VPS37A,0.003040291551810191
COASY,0.005180771056205635
COG1|9382,0.004152001406965548
COG4|25839,0.004349543731351665
COMT|1312,0.00503281602787175
COPG2|26958,0.002514285627397596
COPS6|10980,0.004002285012386356
COPS7A|50813,0.0034132175902607254
COQ7|10229,0.003302553678580817
CORO1A;LOC606724,0.007134069612485476
CORO1B,0.0041212157402524905
COX16|51241,0.003484940941095049
COX17,0.002365284118620111
COX7A2L|9167,0.004390171441263748
CPA3,0.003918701892762605
CPEB2,0.003015379264940275
CPNE1|8904,0.003664188850290701
CPT1B|1375,0.0038894164239294407
CREBBP|1387,0.0036685866007016513
CREM,0.0038181433485149074
CRKL,0.0033907059284024573
CRLF3|51379,0.0038227318730075914
CRLS1,0.0029526130733181434
CROCCL1|84809,0.003434613696627709
CRYAA,0.005252099818611758
CRYZ|1429,0.0031778305724017193
CSDA|8531,0.0038322245715780474
CSDE1,0.004922315039549836
CSK,0.004020939552305451
CSNK1A1L,0.0054063768435690124
CSNK1D|1453,0.0029295385499578204
CSNK1G1,0.0027200963035467016
CSRP2|1466,0.00590412602900546
CTNNBIP1,0.004444943558580964
CTNND1,0.006938812439050418
CTSA|5476,0.0035757997997978496
CTSB|1508,0.0030594240781541154
CTSL2,0.003959486740511658
