,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.17703349282296652,0.08008984755644376,0.11956521739130435,0.02959535083943177,0.8038277511961722,0.08133971291866028,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0
30,0.5186602870813397,0.4080655429105602,0.23369565217391305,0.14077560121038382,0.8995215311004785,0.631578947368421,1.0,0.05741626794258373,0.004784688995215311,0.72,0.5714285714285714,0.8,0.011235955056179775,0.0
60,0.8583732057416268,0.8536191103043451,0.6521739130434783,0.6510861854301214,0.9234449760765551,0.9760765550239234,0.9952153110047847,0.7177033492822966,0.6794258373205742,0.88,0.9642857142857143,0.8,0.449438202247191,0.71875
90,0.9425837320574163,0.9420159221092609,0.7771739130434783,0.7840636099735367,0.937799043062201,1.0,0.9904306220095693,0.8660287081339713,0.9186602870813397,0.84,1.0,0.8,0.6629213483146067,0.84375
120,0.9492822966507177,0.9485111839195424,0.7989130434782609,0.805973336172263,0.9425837320574163,0.9952153110047847,1.0,0.8277511961722488,0.9808612440191388,0.8,1.0,0.8,0.6966292134831461,0.90625
150,0.969377990430622,0.96922484412703,0.8315217391304348,0.8369740340523492,0.9569377990430622,1.0,1.0,0.9090909090909091,0.9808612440191388,0.76,1.0,0.7,0.7865168539325843,0.90625
180,0.9751196172248804,0.9750177070680809,0.8478260869565217,0.8520065711498318,0.9569377990430622,1.0,1.0,0.9330143540669856,0.9856459330143541,0.76,1.0,0.7,0.8202247191011236,0.90625
210,0.9741626794258373,0.9741085956709133,0.8586956521739131,0.8621462911713654,0.9712918660287081,0.9952153110047847,1.0,0.937799043062201,0.9665071770334929,0.72,0.9642857142857143,0.7,0.8764044943820225,0.875
240,0.9770334928229665,0.976977024750391,0.8478260869565217,0.8519282280524364,0.9569377990430622,0.9952153110047847,1.0,0.9425837320574163,0.9904306220095693,0.72,1.0,0.7,0.8426966292134831,0.875
270,0.9866028708133971,0.9865982154610441,0.8641304347826086,0.8659860141107181,0.9904306220095693,1.0,1.0,0.9665071770334929,0.9760765550239234,0.72,1.0,0.7,0.8876404494382022,0.84375
300,0.9866028708133971,0.9865651042286139,0.8641304347826086,0.8659849750420069,0.9904306220095693,1.0,1.0,0.9569377990430622,0.9856459330143541,0.72,1.0,0.6,0.8876404494382022,0.875
