,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.2,0.06666666666666667,0.1358695652173913,0.03250468067401706,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,0.7301435406698564,0.7293027458075166,0.6086956521739131,0.6064462416792934,0.9617224880382775,0.8181818181818182,0.5502392344497608,0.7655502392344498,0.5550239234449761,0.88,0.8214285714285714,0.6,0.39325842696629215,0.8125
80,0.938755980861244,0.9380819071911112,0.6739130434782609,0.6760894824242342,0.9712918660287081,0.9952153110047847,1.0,0.8803827751196173,0.84688995215311,0.84,0.9642857142857143,0.9,0.449438202247191,0.84375
120,0.9511961722488038,0.9508647904384113,0.7336956521739131,0.7446063828284482,0.9617224880382775,0.9904306220095693,1.0,0.8899521531100478,0.9138755980861244,0.8,0.9642857142857143,0.9,0.5955056179775281,0.8125
160,0.969377990430622,0.9693138993749304,0.7880434782608695,0.7962241160293781,0.9569377990430622,0.9952153110047847,1.0,0.937799043062201,0.9569377990430622,0.8,0.9642857142857143,0.8,0.6853932584269663,0.90625
200,0.9751196172248804,0.9750910903304241,0.8206521739130435,0.8293106182598937,0.9665071770334929,0.9904306220095693,1.0,0.9521531100478469,0.9665071770334929,0.76,0.9642857142857143,0.7,0.7865168539325843,0.875
240,0.9808612440191388,0.9808345369580161,0.8315217391304348,0.8384982492423964,0.9617224880382775,0.9904306220095693,1.0,0.9712918660287081,0.9808612440191388,0.76,0.9642857142857143,0.7,0.8202247191011236,0.84375
280,0.9827751196172249,0.9828018831243074,0.8260869565217391,0.8315152988961706,0.9760765550239234,0.9904306220095693,1.0,0.9712918660287081,0.9760765550239234,0.72,0.9642857142857143,0.6,0.8426966292134831,0.8125
320,0.9799043062200957,0.9799025927998481,0.8532608695652174,0.8553062680009788,0.9665071770334929,0.9904306220095693,1.0,0.9760765550239234,0.9665071770334929,0.72,0.9642857142857143,0.7,0.898876404494382,0.78125
360,0.9779904306220095,0.9779471421718162,0.8478260869565217,0.8516112943542469,0.9617224880382775,0.9904306220095693,1.0,0.9569377990430622,0.9808612440191388,0.76,0.9642857142857143,0.8,0.8539325842696629,0.8125
400,0.9856459330143541,0.9856653498129084,0.8532608695652174,0.8542417549498036,0.9808612440191388,0.9904306220095693,1.0,0.9856459330143541,0.9712918660287081,0.72,1.0,0.6,0.898876404494382,0.78125
