features,features,shapley_values
0,DBF4|10926,0.00012192393446538215
1,DACH1|1602,0.00046110914812181117
2,BBS4|585,0.00016007121414045257
3,L3MBTL4|91133,0.00027861954960489444
4,TK1|7083,0.00018436321304588822
5,KIAA1370|56204,0.00012907944833380402
6,GPD1L|23171,0.00016248803729668098
7,RERG|85004,0.0003081966546581471
8,RAPGEF3|10411,0.00022309692605534771
9,FBXO36|130888,0.00011876365297643444
10,LHFP|10186,0.00015766757570635122
11,PRRT3|285368,0.00020350235938785044
12,CDC123|8872,0.00010844112353206674
13,ZBTB4|57659,9.895027905531415e-05
14,LPIN1|23175,0.00011531560766236128
15,CLSTN2|64084,0.0002917888016505507
16,CALCOCO1|57658,0.00020920923839303835
17,INPP4B|8821,0.00023495095780632323
18,CCDC82|79780,0.00018887742169538857
19,TLE3|7090,0.00016371644933087492
20,C16orf71|146562,0.0002310832058049032
21,MICALL1|85377,0.00012015821531786676
22,INPP5J|27124,0.0003661027670244269
23,HDGF|3068,0.00010550046518387137
24,TMEM206|55248,0.00013609731006981909
25,RABEP1|9135,0.00013675654841345178
26,C10orf32|119032,0.00011180420553990055
27,STARD10|10809,0.00016944154166990025
28,DNAJC12|56521,0.00034358546196417973
29,CELSR1|9620,0.00015115427509955292
30,ACOT4|122970,0.00018887037521578547
31,PGPEP1|54858,0.00017518273205636064
32,KCMF1|56888,0.00015921627966969604
33,WDR19|57728,0.00015885731801601246
34,C6orf211|79624,0.0001441094144852236
35,PHGDH|26227,0.0002292778958944811
36,BCAM|4059,0.00016282228313996202
37,POP1|10940,0.00014759377337019813
38,CIT|11113,0.00018932085917857264
39,FGD3|89846,0.00020894119893471782
40,ZNF763|284390,0.00015482983391478634
41,LMX1B|4010,0.00017150781584487866
42,TRIM3|10612,0.00017273937941607876
43,MFGE8|4240,0.00019921945919304006
44,FAM63A|55793,0.00018354089122631702
45,SLC43A3|29015,0.0001525963605794806
46,PDP1|54704,0.0001390793101125291
47,TYW1|55253,0.00013264059133527594
48,ZBTB44|29068,0.00015117693359550528
49,IRX3|79191,0.000146343156113147
50,NAPB|63908,0.00012166804326779744
51,OPHN1|4983,0.00016499798259021222
52,C16orf42|115939,0.00023123032281841048
53,PFAS|5198,0.00016177516657132386
54,C15orf61|145853,0.00012563350113374203
55,MORF4L1|10933,0.00011792804852574936
56,DIAPH1|1729,0.0001501569279309799
57,AP3M2|10947,0.00012126207411468058
58,ZNF347|84671,0.00014525807599016525
59,RBP1|5947,0.00018793428646816506
60,ICK|22858,0.00012080379013208272
61,DHRS4|10901,0.0001375060772152534
62,MEX3C|51320,0.00012443198156059944
63,NT5DC1|221294,0.00012035485015277474
64,SNX4|8723,0.0001509292037897262
65,GPC1|2817,0.00017538355446340882
66,C14orf118|55668,0.00011544996815240899
67,FTL|2512,0.0001484321870093437
68,RGS4|5999,0.00015711521718931088
69,C15orf40|123207,0.00015003726865284178
70,GGTLC2|91227,0.00019041290082800864
71,ZNF384|171017,0.00016568880440441
72,ZBTB10|65986,0.00014305926332336183
73,ASCC2|84164,0.00011906747707137194
74,BRAP|8315,0.00010583588653718433
75,CYB561D1|284613,0.0001201248364577628
76,COX7A2L|9167,0.00013969013818362002
77,GFPT2|9945,0.00015175845784246738
78,NNT|23530,0.00013484713936986654
79,FAM21C|253725,0.000175891847302177
80,RUNDC2C|440352,0.000187017359342324
81,PSMD13|5719,0.00014545041450277882
82,PRF1|5551,0.00015246248870639953
83,ITGB3BP|23421,0.00012286582431932696
84,ATP6V1D|51382,0.00011390509228618743
85,PPFIBP2|8495,0.0001372338153977099
86,UGGT1|56886,0.00010790348105238862
87,SP110|3431,0.00018009652586723418
88,FAM53C|51307,0.00012431367912304277
89,MTMR4|9110,0.00012198230988055335
90,TRIM22|10346,0.00011236061582350652
91,UBE4B|10277,0.00014346975684560262
92,ZNF383|163087,0.0001435740709735502
93,PQLC3|130814,0.00014866688345936192
94,TMCO6|55374,0.00013054122395908768
95,UTP20|27340,0.0001374356899059002
96,SNX15|29907,0.00013155186825994627
97,LTBP1|4052,0.0001782346436389945
98,TMEM187|8269,0.00014057617989867007
99,MMP15|4324,0.00021232498446202566
100,DENND1C|79958,0.00012485620934766812
101,C3orf62|375341,0.00011803962144964705
102,RIOK3|8780,0.00012500138997687468
103,BPTF|2186,0.00015779242792084337
104,GPSM1|26086,0.00013601914581530162
105,SELS|55829,0.0001403244680605306
106,MAMSTR|284358,0.0001384081091075333
107,ING5|84289,0.0001964264394545842
108,ATXN7L3B|552889,0.00013960537957226598
109,ZBTB2|57621,0.00016671043333791417
110,PPME1|51400,0.0001380937090085715
111,DNAJC21|134218,0.00015142003924073667
112,RPS11|6205,9.009899941618224e-05
113,DNAJC13|23317,0.0001239317499509253
114,ZNF576|79177,0.00015865825645446807
115,SAR1A|56681,0.0001458282755270791
116,HSP90AB2P|391634,0.00012794436207093382
117,STARD4|134429,0.0001281284069864356
118,FLJ42627|645644,0.00013414316049463132
119,CAPN12|147968,0.0001359237504750674
120,ZMAT3|64393,0.0001235688914785656
121,FAM50B|26240,0.00014746644561226113
122,SLC38A10|124565,0.0001298819999338954
123,UNC13B|10497,0.00017098050107948096
124,LOC651250|651250,0.00016465434918845227
125,PPP2R5A|5525,0.00017017709315902475
126,EFHD2|79180,0.000146802099441167
127,CCDC101|112869,0.0001574091641777398
128,MIER2|54531,0.00011399015162606377
129,ANP32A|8125,0.00010917296445471407
130,NOM1|64434,0.00013156582037167697
131,CMPK2|129607,0.00023280816198072016
132,COPG2|26958,0.0001214127223331625
133,TCFL5|10732,0.00013252873417908697
134,UAP1|6675,0.00015214300057392522
135,RGS3|5998,0.0001310419386155605
136,NCRNA00115|79854,0.00013872965516466008
137,GLIS2|84662,0.00014380490551911532
138,NDUFA6|4700,0.00011211339847193796
139,FAM53A|152877,0.00011464808734788805
140,HES1|3280,9.308652399791148e-05
141,JRK|8629,0.00012502210660045128
142,ARL6IP6|151188,0.00010302868622674251
143,CROCCL1|84809,0.00012065647728911743
144,GXYLT1|283464,0.0001419248935752832
145,CCDC102B|79839,0.0001201268627114576
146,RTEL1|51750,0.00010087596742520532
147,FOXO3|2309,0.00013095618926893887
148,NUP43|348995,0.00014034408112051174
149,ZNF517|340385,0.00010633230850694159
150,RRP7B|91695,0.00019314843816697162
151,TCIRG1|10312,0.0001414872825177689
152,PLBD1|79887,0.0001254697886066328
153,FGD6|55785,0.00018347541101941398
154,KCTD15|79047,0.00015425499668993015
155,RAB3GAP1|22930,8.913160465761853e-05
156,NFKB1|4790,0.00015722889900306663
157,CTSA|5476,0.00014060951179369752
158,VSIG10|54621,0.00016319882070024624
159,HMBOX1|79618,0.00015099016063512485
160,CDK5RAP1|51654,0.00013951474185294063
161,MAPKAPK3|7867,0.00012703339823384925
162,MTA1|9112,0.00013428368739653698
163,BRD9|65980,0.00010239401193132654
164,C5orf25|375484,0.00013093879823190097
165,SLC38A2|54407,0.00017061406505995707
166,LOC730101|730101,0.0001878798005952333
167,DLG1|1739,0.00010099604234582484
168,CREBBP|1387,0.0001913155777159752
169,ZFP112|7771,0.00012305198062809993
170,CERK|64781,0.0001527100346281639
171,ASAP1|50807,0.0001354705499571413
172,INPPL1|3636,0.00014149876006449845
173,HSDL1|83693,0.00013054256215115496
174,CAMKK2|10645,0.00014988304969098168
175,GIPC3|126326,0.00012111997890369377
176,ATP6V1A|523,0.00012710879831721536
177,A4GALT|53947,0.00017351968204258361
178,IWS1|55677,0.00012416969490173938
179,SECTM1|6398,0.0001380483979465499
180,C14orf1|11161,0.00015763024202996337
181,MLLT3|4300,0.00013131785802063673
182,SUPT7L|9913,0.00010830912640460569
183,RSRC1|51319,0.0001132367075486732
184,SDHAP3|728609,9.214477215382566e-05
185,LAMP2|3920,0.0001342887310435588
186,DSCR3|10311,0.00011834341610353797
187,SLC43A1|8501,0.00013569383577884364
188,HGSNAT|138050,0.0001459070728988368
189,CNOT2|4848,0.0001258159990797152
190,ZNF682|91120,0.00017938802811984852
191,C2orf7|84279,9.540422378032604e-05
192,DDX59|83479,0.00014629631598470772
193,HOPX|84525,0.00011154987717623213
194,POU2F2|5452,0.0001520590676358781
195,CCDC34|91057,0.00014497595055599797
196,POLR3F|10621,0.000162583035329
197,ADAMTS4|9507,0.00015248188090267095
198,LMCD1|29995,0.00016623358009913402
199,DIS3L2|129563,0.00011097066856896803
200,MUT|4594,0.00016777134422693734
201,PARG|8505,0.00010502004786100844
202,ZNF322A|79692,8.590809421566908e-05
203,ANKRD10|55608,0.00010785874550034267
204,TERF2|7014,0.00013687440516004963
205,NIPAL3|57185,0.00012463309098604796
206,UBR5|51366,0.00010921475965225553
