,mRNA
0,0.05080419033765793
1,0.3579845130443573
2,0.06867823749780655
3,0.046437814831733704
4,0.09101193398237228
5,0.07143983989953995
6,0.03809602931141853
7,0.027707979083061218
8,0.04218878969550133
9,0.047802943736314774
10,0.03730549290776253
11,0.02628317102789879
12,0.023478690534830093
13,0.026781126856803894
14,0.02925577387213707
15,0.028193216770887375
16,0.025091979652643204
17,0.021575452759861946
18,0.02053203620016575
19,0.02121613919734955
20,0.022371243685483932
21,0.02217182144522667
22,0.020832523703575134
23,0.019080594182014465
24,0.01823810115456581
25,0.018272455781698227
26,0.018578821793198586
27,0.018549077212810516
28,0.017934788018465042
29,0.017442254349589348
30,0.016507798805832863
31,0.01611468195915222
32,0.015974264591932297
33,0.016113346442580223
34,0.01612795516848564
35,0.015842866152524948
36,0.015163812786340714
37,0.015005764551460743
38,0.014915263280272484
39,0.014918249100446701
40,0.014885417185723782
41,0.014677902683615685
42,0.014548084698617458
43,0.014382724650204182
44,0.014106553979218006
45,0.014185748994350433
46,0.014105658046901226
47,0.013954760506749153
48,0.013933008536696434
49,0.013794652186334133
50,0.013520661741495132
51,0.01352896261960268
52,0.01341334916651249
53,0.013409151695668697
54,0.013497412204742432
55,0.013068161904811859
56,0.01308526936918497
57,0.012993942014873028
58,0.013152898289263248
59,0.013072436675429344
60,0.012893962673842907
61,0.012744816951453686
62,0.012795232236385345
63,0.012676236219704151
64,0.012630617246031761
65,0.012649279087781906
66,0.01243610866367817
67,0.012378440238535404
68,0.012368320487439632
69,0.012304319068789482
70,0.012280152179300785
71,0.012182299979031086
72,0.01217893697321415
73,0.012131867930293083
74,0.011995745822787285
75,0.01193761546164751
76,0.011777009814977646
77,0.011873466894030571
78,0.01180642656981945
79,0.011762494221329689
80,0.011626853607594967
81,0.011671287007629871
82,0.011573659256100655
83,0.011588978581130505
84,0.011439617723226547
85,0.011535603553056717
86,0.011376225389540195
87,0.01132151111960411
88,0.011259394697844982
89,0.0111780297011137
90,0.01120441872626543
91,0.011079465039074421
92,0.011030551046133041
93,0.011031401343643665
94,0.010945284739136696
95,0.010847317986190319
96,0.010949785821139812
97,0.010832318104803562
98,0.010711957700550556
99,0.010767214000225067
100,0.010615168139338493
101,0.01071305200457573
102,0.010690021328628063
103,0.01053895615041256
104,0.010563338175415993
105,0.010454441420733929
106,0.010501213371753693
107,0.01043438259512186
108,0.010382766835391521
109,0.01039201207458973
110,0.01017752569168806
111,0.010155861265957355
112,0.010176108218729496
113,0.010023139417171478
114,0.01014744769781828
115,0.01005250122398138
116,0.009944005869328976
117,0.010016020387411118
118,0.00989267323166132
119,0.009850837290287018
120,0.009837163612246513
121,0.009930295869708061
122,0.009789244271814823
123,0.00975215807557106
124,0.009738595224916935
125,0.009798696264624596
126,0.009758681058883667
127,0.00954488292336464
128,0.00970571581274271
129,0.00946012046188116
130,0.009391251020133495
131,0.009479280561208725
132,0.009388665668666363
133,0.009468525648117065
134,0.009366854093968868
135,0.009383875876665115
136,0.009207742288708687
137,0.009342316538095474
138,0.009376770816743374
139,0.009400253184139729
140,0.00915484968572855
141,0.009094147942960262
142,0.008980921469628811
143,0.00908471830189228
144,0.009009374305605888
145,0.009149213321506977
