,mRNA
0,0.10989043861627579
1,0.08938024193048477
2,0.08910104632377625
3,0.08965007960796356
4,0.08198495954275131
5,0.07497404515743256
6,0.0720655769109726
7,0.06856347620487213
8,0.06818322837352753
9,0.06451789289712906
10,0.06169520691037178
11,0.05906808376312256
12,0.056149788200855255
13,0.05335283279418945
14,0.05149899795651436
15,0.05208509787917137
16,0.050165701657533646
17,0.04721913859248161
18,0.046261489391326904
19,0.044488176703453064
20,0.042456530034542084
21,0.04235481843352318
22,0.04107734188437462
23,0.041359491646289825
24,0.03976859152317047
25,0.03837154433131218
26,0.038156427443027496
27,0.03703894466161728
28,0.036001358181238174
29,0.035587526857852936
30,0.035899121314287186
31,0.035205598920583725
32,0.03437333181500435
33,0.03347891941666603
34,0.03373933956027031
35,0.03381086885929108
36,0.03205030411481857
37,0.03248301148414612
38,0.03191155567765236
39,0.03244064003229141
40,0.03102155588567257
41,0.030620822682976723
42,0.0303599014878273
43,0.030785126611590385
44,0.029692480340600014
45,0.029195724055171013
46,0.029413139447569847
47,0.028994057327508926
48,0.02900060825049877
49,0.02873457595705986
50,0.028453325852751732
51,0.027863729745149612
52,0.027773883193731308
53,0.027623925358057022
54,0.027643224224448204
55,0.02729194611310959
56,0.027337731793522835
57,0.026748882606625557
58,0.02735390141606331
59,0.026452435180544853
60,0.026756439357995987
61,0.02639625035226345
62,0.026344990357756615
63,0.025255421176552773
64,0.025657037273049355
65,0.025310367345809937
66,0.025381332263350487
67,0.024923104792833328
68,0.02495923638343811
69,0.024549469351768494
70,0.024562042206525803
71,0.02424725517630577
72,0.023678774014115334
73,0.023962780833244324
74,0.023993371054530144
75,0.02341124787926674
76,0.02329939231276512
77,0.02355492301285267
78,0.02325124852359295
79,0.022712789475917816
80,0.022665172815322876
81,0.022939270362257957
82,0.02299383468925953
83,0.022337481379508972
84,0.02236188016831875
85,0.021910464391112328
86,0.02189912274479866
87,0.021999932825565338
88,0.021772459149360657
89,0.02137627638876438
90,0.021168110892176628
91,0.02136790193617344
92,0.020992569625377655
93,0.02072489634156227
94,0.021065596491098404
95,0.020915409550070763
96,0.02061067521572113
97,0.020652014762163162
98,0.020656881853938103
99,0.020549409091472626
100,0.02040322870016098
101,0.020281538367271423
102,0.01984240487217903
103,0.019790228456258774
104,0.019650787115097046
105,0.01961224526166916
106,0.01952899992465973
107,0.019351741299033165
108,0.01891760341823101
109,0.01912912353873253
110,0.01934310793876648
111,0.018945172429084778
112,0.01914951205253601
113,0.018514664843678474
114,0.019020479172468185
115,0.018438005819916725
116,0.01821243017911911
117,0.018386490643024445
118,0.0183631032705307
119,0.01799188181757927
120,0.018224725499749184
121,0.01763407327234745
122,0.017710620537400246
123,0.01762375235557556
124,0.017972607165575027
125,0.01752636581659317
126,0.01755634695291519
127,0.017556654289364815
128,0.017221733927726746
129,0.017492050305008888
130,0.017195552587509155
131,0.017514357343316078
132,0.017135409638285637
133,0.01666145585477352
134,0.01660815440118313
135,0.016950251534581184
136,0.016870787367224693
137,0.016800876706838608
138,0.016535304486751556
139,0.016368001699447632
140,0.016338909044861794
141,0.01653900183737278
142,0.016444027423858643
143,0.016463957726955414
144,0.016108840703964233
145,0.016268592327833176
146,0.015780683606863022
147,0.015777869150042534
148,0.015973243862390518
149,0.016154417768120766
150,0.015722215175628662
151,0.01565026305615902
152,0.01573571003973484
153,0.015543483197689056
154,0.015516452491283417
155,0.015529516153037548
156,0.015353480353951454
157,0.015215813182294369
158,0.015306567773222923
159,0.01511416956782341
160,0.015246981754899025
161,0.015126075595617294
162,0.01513163186609745
163,0.015052979812026024
164,0.014885836280882359
165,0.01519852876663208
166,0.014865085482597351
167,0.014911436475813389
168,0.014840316958725452
169,0.014668256044387817
170,0.0148744136095047
171,0.01476208958774805
172,0.014621561393141747
173,0.014731121249496937
174,0.014615033753216267
175,0.014530806802213192
176,0.014540806412696838
177,0.014481555670499802
178,0.014409216120839119
179,0.014206763356924057
180,0.014768986962735653
181,0.0141786839812994
182,0.014149200171232224
183,0.014104715548455715
184,0.0142632145434618
185,0.014160577207803726
186,0.014164258725941181
187,0.014216326177120209
188,0.014189593493938446
189,0.014041128568351269
190,0.014039442874491215
191,0.014002024196088314
192,0.013962208293378353
193,0.013966646045446396
194,0.0137533750385046
195,0.013681172393262386
196,0.013727274723351002
197,0.013786952942609787
198,0.013576178811490536
199,0.013734562322497368
200,0.013574142009019852
201,0.013530358672142029
202,0.01352777425199747
203,0.013712923042476177
204,0.013718749396502972
205,0.013564048334956169
206,0.013406431302428246
207,0.01354327704757452
208,0.013482254929840565
209,0.013548516668379307
210,0.013356437906622887
211,0.013305353932082653
212,0.013392609544098377
213,0.012989400885999203
214,0.013275071047246456
215,0.013073757290840149
216,0.013027440756559372
217,0.012980617582798004
218,0.013159253634512424
219,0.012920255772769451
220,0.012927375733852386
221,0.013131612911820412
222,0.013114017434418201
223,0.013048907741904259
224,0.01309819146990776
225,0.01254504919052124
226,0.012725803069770336
227,0.013071093708276749
228,0.012966115027666092
229,0.0127369724214077
230,0.01278749294579029
231,0.012520385906100273
232,0.012475489638745785
233,0.012670274823904037
234,0.012440193444490433
235,0.012687829323112965
236,0.012831338681280613
237,0.012670728377997875
238,0.012649529613554478
239,0.012510716915130615
240,0.012462154030799866
241,0.012436646968126297
242,0.012388813309371471
243,0.012238053604960442
244,0.012255312874913216
245,0.012203706428408623
246,0.012383631430566311
247,0.012312286533415318
248,0.012302780523896217
249,0.012388600967824459
250,0.012283509597182274
251,0.012141893617808819
252,0.0122095150873065
253,0.012248482555150986
254,0.011926480568945408
255,0.01209437008947134
256,0.012189211323857307
257,0.012097151018679142
258,0.011866959743201733
259,0.012255016714334488
260,0.012115789577364922
261,0.011869341135025024
262,0.012008728459477425
263,0.011873429641127586
264,0.012003774754703045
265,0.01190396398305893
266,0.011786042712628841
267,0.011927378363907337
268,0.011719266884028912
269,0.01168359350413084
270,0.011789650656282902
271,0.01162782683968544
272,0.011708006262779236
273,0.011769797652959824
274,0.011794879101216793
275,0.011351321823894978
276,0.011694461107254028
277,0.011524415574967861
278,0.011621621437370777
279,0.011687954887747765
280,0.011582541279494762
281,0.011435523629188538
282,0.011400691233575344
283,0.011486521922051907
284,0.011519110761582851
285,0.011258996091783047
286,0.011560162529349327
287,0.011429543606936932
288,0.011403883807361126
289,0.011294811964035034
290,0.011173511855304241
291,0.011418766342103481
292,0.011402751319110394
293,0.011413098312914371
294,0.011256511323153973
295,0.011134249158203602
296,0.011090237647294998
297,0.011191553436219692
298,0.011215509846806526
299,0.011243666522204876
300,0.011309961788356304
301,0.011264008469879627
302,0.011281542479991913
303,0.010943109169602394
304,0.011241481639444828
305,0.011021737940609455
306,0.011032942682504654
307,0.011164910160005093
308,0.011198275722563267
309,0.010955964215099812
310,0.011012941598892212
311,0.01089832279831171
312,0.010933437384665012
313,0.01090517919510603
314,0.010895687155425549
315,0.01096467487514019
316,0.01103533711284399
317,0.010889887809753418
318,0.010936643928289413
319,0.011010353453457355
320,0.011006088927388191
321,0.01108652912080288
322,0.010665060952305794
323,0.01069704256951809
324,0.010762561112642288
325,0.01081362459808588
326,0.010772690176963806
327,0.010931926779448986
328,0.0105773089453578
329,0.010544133372604847
330,0.010479195043444633
331,0.010756837204098701
332,0.010556763038039207
333,0.010628584772348404
334,0.010525061748921871
335,0.010564208030700684
336,0.010608923621475697
337,0.010754835791885853
338,0.010560610331594944
339,0.01065018679946661
340,0.010401326231658459
341,0.010718903504312038
342,0.0106612304225564
343,0.010487854480743408
344,0.010352968238294125
345,0.010389234870672226
346,0.010440622456371784
347,0.010472403839230537
348,0.01046376395970583
349,0.010416729375720024
350,0.010439482517540455
351,0.010419239290058613
352,0.01021483913064003
353,0.01050500012934208
354,0.010425036773085594
355,0.010083798319101334
356,0.010245269164443016
357,0.009964416734874249
358,0.01033427007496357
359,0.010215768590569496
360,0.010354893282055855
361,0.010167257860302925
362,0.010330370627343655
363,0.010065126232802868
364,0.010102401487529278
365,0.010202359408140182
366,0.010022141970694065
367,0.010143906809389591
368,0.01006110105663538
369,0.010150616988539696
370,0.010134788230061531
371,0.009928790852427483
372,0.010011681355535984
373,0.010109950788319111
374,0.009840928949415684
375,0.010231996886432171
376,0.009916526265442371
377,0.010000498034060001
378,0.009947191923856735
379,0.009959513321518898
380,0.010008431039750576
381,0.009815948083996773
382,0.009943093173205853
383,0.009908168576657772
384,0.009892001748085022
385,0.009837367571890354
386,0.009835990145802498
387,0.009616605006158352
388,0.009800253435969353
389,0.009860808029770851
390,0.009822562336921692
391,0.009798728860914707
392,0.009675825014710426
393,0.009853863157331944
394,0.009759861044585705
395,0.009665040299296379
396,0.009784427471458912
397,0.009587566368281841
398,0.009730745106935501
399,0.009826400317251682
400,0.009736405685544014
401,0.009902620688080788
402,0.009712658822536469
403,0.009632299654185772
404,0.009664976969361305
405,0.009714351035654545
406,0.009790337644517422
407,0.009810255840420723
408,0.009612653404474258
409,0.009764856658875942
410,0.009627686813473701
411,0.009701712056994438
412,0.00934368371963501
413,0.00946684367954731
414,0.00969764869660139
415,0.009510998614132404
416,0.009621158242225647
417,0.00952167622745037
418,0.009593443013727665
419,0.009678205475211143
420,0.00934633519500494
421,0.009531346149742603
422,0.0094973836094141
423,0.009513571858406067
424,0.009523042477667332
425,0.009581116959452629
426,0.009238531813025475
427,0.00947603676468134
428,0.009565356187522411
429,0.009483282454311848
430,0.009385883808135986
431,0.009269308298826218
432,0.009339063428342342
433,0.009389429353177547
434,0.009377626702189445
435,0.009366988204419613
436,0.009401217103004456
437,0.009403622709214687
438,0.009229268878698349
439,0.009318163618445396
440,0.009290537796914577
441,0.00910276360809803
442,0.009383504278957844
443,0.009348546154797077
444,0.009213827550411224
