,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.17896995708154506,0.1319092995138629,0.2562814070351759,0.10489848923590668,0.017167381974248927,0.555793991416309,0.07939914163090128,0.03648068669527897,0.20600858369098712,0.0,0.0,0.0,1.0,0.0
50,0.8381974248927039,0.8388349636647646,0.7256281407035176,0.726941075420157,0.8154506437768241,0.8540772532188842,0.9313304721030042,0.7274678111587983,0.8626609442060086,0.7466666666666667,0.6901408450704225,0.6013071895424836,0.6627450980392157,0.9017857142857143
100,0.8798283261802575,0.879856768502155,0.7346733668341708,0.7352312300937972,0.8969957081545065,0.9098712446351931,0.9420600858369099,0.7811158798283262,0.869098712446352,0.6933333333333334,0.6713615023474179,0.5751633986928104,0.8196078431372549,0.8348214285714286
150,0.9124463519313305,0.9117554032492059,0.7326633165829146,0.7320343895452187,0.9549356223175965,0.944206008583691,0.9592274678111588,0.7875536480686696,0.9163090128755365,0.6066666666666667,0.676056338028169,0.6013071895424836,0.9176470588235294,0.75
200,0.9261802575107296,0.9254234347638557,0.7276381909547739,0.7270764330878671,0.9656652360515021,0.9484978540772532,0.9828326180257511,0.8047210300429185,0.9291845493562232,0.5933333333333334,0.6854460093896714,0.5947712418300654,0.9333333333333333,0.7142857142857143
250,0.9369098712446352,0.9360526044423354,0.714572864321608,0.7137012209257888,0.9871244635193133,0.9570815450643777,0.9828326180257511,0.8047210300429185,0.9527896995708155,0.5266666666666666,0.6995305164319249,0.5816993464052288,0.9529411764705882,0.6741071428571429
300,0.9545064377682403,0.9544915423325452,0.7477386934673367,0.7451033600608985,0.9785407725321889,0.9742489270386266,0.9828326180257511,0.9313304721030042,0.9055793991416309,0.5933333333333334,0.6666666666666666,0.5947712418300654,0.9058823529411765,0.8526785714285714
350,0.9454935622317596,0.9446702655126364,0.7165829145728643,0.7153403244891284,0.9892703862660944,0.9549356223175965,0.9892703862660944,0.8133047210300429,0.98068669527897,0.5133333333333333,0.6901408450704225,0.5947712418300654,0.9490196078431372,0.6964285714285714
400,0.9463519313304721,0.9462856116095847,0.714572864321608,0.7130456252041069,0.9635193133047211,0.9570815450643777,0.9892703862660944,0.9120171673819742,0.9098712446351931,0.5133333333333333,0.6995305164319249,0.5751633986928104,0.9568627450980393,0.6830357142857143
450,0.9566523605150214,0.9562586299235323,0.7226130653266332,0.7215488204659037,0.9892703862660944,0.9699570815450643,0.9871244635193133,0.8669527896995708,0.9699570815450643,0.5333333333333333,0.6854460093896714,0.6078431372549019,0.9490196078431372,0.7053571428571429
500,0.9579399141630901,0.9579464829450951,0.7316582914572864,0.7278759341403421,0.9763948497854077,0.9699570815450643,0.9892703862660944,0.9291845493562232,0.924892703862661,0.5933333333333334,0.676056338028169,0.5098039215686274,0.9215686274509803,0.8125
550,0.9579399141630901,0.9576197065065821,0.7316582914572864,0.7308246819696358,0.9871244635193133,0.9763948497854077,0.9892703862660944,0.8733905579399142,0.9635193133047211,0.5666666666666667,0.6807511737089202,0.6143790849673203,0.9450980392156862,0.7276785714285714
600,0.959656652360515,0.9592625152536096,0.7306532663316583,0.7295369507911326,0.9892703862660944,0.9742489270386266,0.9892703862660944,0.871244635193133,0.9742489270386266,0.5466666666666666,0.6854460093896714,0.6143790849673203,0.9490196078431372,0.7276785714285714
650,0.9497854077253219,0.9489652947835722,0.714572864321608,0.7133393387340634,0.9892703862660944,0.9699570815450643,0.9892703862660944,0.8218884120171673,0.9785407725321889,0.47333333333333333,0.704225352112676,0.6013071895424836,0.9607843137254902,0.6830357142857143
700,0.9553648068669528,0.9547896159863808,0.7195979899497488,0.7181369946967351,0.9892703862660944,0.9742489270386266,0.9892703862660944,0.8454935622317596,0.9785407725321889,0.5,0.6854460093896714,0.6143790849673203,0.9568627450980393,0.7008928571428571
750,0.9639484978540772,0.9639340490651133,0.735678391959799,0.7321546344203648,0.9763948497854077,0.9742489270386266,0.9892703862660944,0.944206008583691,0.9356223175965666,0.62,0.676056338028169,0.5098039215686274,0.9137254901960784,0.8214285714285714
800,0.9643776824034335,0.964272654818247,0.7276381909547739,0.7254950706125842,0.9849785407725322,0.9721030042918455,0.9871244635193133,0.9163090128755365,0.9613733905579399,0.56,0.6854460093896714,0.5620915032679739,0.9529411764705882,0.7366071428571429
850,0.9592274678111588,0.9591409628344518,0.7336683417085427,0.7304122022160168,0.9763948497854077,0.9678111587982833,0.9892703862660944,0.9206008583690987,0.9420600858369099,0.56,0.704225352112676,0.5294117647058824,0.9294117647058824,0.7946428571428571
