,train_accuracy,train_F1,test_accuracy,test_F1,train_acc_Normal,train_acc_Basal,train_acc_Her2,train_acc_LumA,train_acc_LumB,test_acc_Normal,test_acc_Basal,test_acc_Her2,test_acc_LumA,test_acc_LumB
0,0.18053691275167785,0.15992198391308768,0.19779116465863453,0.11414169038900074,0.026845637583892617,0.10067114093959731,0.15771812080536912,0.3691275167785235,0.2483221476510067,0.057692307692307696,0.09365558912386707,0.0,0.0013869625520110957,0.7113821138211383
50,0.5315436241610738,0.5244740567894769,0.2359437751004016,0.17742882345702798,0.7181208053691275,0.6174496644295302,0.4429530201342282,0.5503355704697986,0.3288590604026846,0.4230769230769231,0.3685800604229607,0.9916666666666667,0.0,0.044715447154471545
100,0.7503355704697987,0.7457677359786508,0.3258032128514056,0.2994336124836535,0.8624161073825504,0.9161073825503355,0.7885906040268457,0.6711409395973155,0.5134228187919463,0.4230769230769231,0.7039274924471299,0.9625,0.03467406380027739,0.14634146341463414
150,0.8402684563758389,0.837770852243134,0.6460843373493976,0.6160832394001055,0.9026845637583892,0.9832214765100671,0.8859060402684564,0.7281879194630873,0.7013422818791947,0.3942307692307692,0.824773413897281,0.7791666666666667,0.8807212205270458,0.22357723577235772
200,0.8818791946308725,0.8806351486210467,0.6460843373493976,0.6115433648406419,0.912751677852349,0.9932885906040269,0.9362416107382551,0.7885906040268457,0.7785234899328859,0.42788461538461536,0.7250755287009063,0.8166666666666667,0.9195561719833565,0.20121951219512196
250,0.9040268456375838,0.9032152380697058,0.6526104417670683,0.6208776347719831,0.9261744966442953,0.9832214765100671,0.9697986577181208,0.7885906040268457,0.8523489932885906,0.44711538461538464,0.7371601208459214,0.825,0.912621359223301,0.21747967479674796
300,0.9080536912751678,0.9069896307237212,0.626004016064257,0.5867841084533241,0.9261744966442953,0.9899328859060402,0.9932885906040269,0.802013422818792,0.8288590604026845,0.3557692307692308,0.6918429003021148,0.8416666666666667,0.9140083217753121,0.16869918699186992
350,0.912751677852349,0.9121658553247645,0.6536144578313253,0.6277397496266268,0.9093959731543624,0.9899328859060402,0.9865771812080537,0.8288590604026845,0.8489932885906041,0.32211538461538464,0.7099697885196374,0.8333333333333334,0.9181692094313454,0.2804878048780488
400,0.9241610738255034,0.9234471139051379,0.626004016064257,0.6093590371561509,0.9161073825503355,0.9899328859060402,0.9966442953020134,0.8120805369127517,0.9060402684563759,0.39903846153846156,0.6465256797583081,0.8625,0.8571428571428571,0.2540650406504065
450,0.9308724832214765,0.930309137858964,0.6285140562248996,0.6129632876062565,0.9328859060402684,0.9865771812080537,0.9932885906040269,0.8322147651006712,0.9093959731543624,0.3605769230769231,0.5861027190332326,0.8625,0.8779472954230236,0.29065040650406504
500,0.9422818791946309,0.9419759035942964,0.6179718875502008,0.6032822661005935,0.9362416107382551,0.9899328859060402,0.9932885906040269,0.8456375838926175,0.9463087248322147,0.33653846153846156,0.5347432024169184,0.8625,0.8765603328710125,0.29471544715447157
550,0.938255033557047,0.9377826324104788,0.642570281124498,0.630013678864651,0.9362416107382551,0.9865771812080537,0.9966442953020134,0.8288590604026845,0.9429530201342282,0.33653846153846156,0.5649546827794562,0.8458333333333333,0.8848821081830791,0.3699186991869919
600,0.9409395973154362,0.9404955073205339,0.6234939759036144,0.6058772594522075,0.9362416107382551,0.9865771812080537,1.0,0.8590604026845637,0.9228187919463087,0.34134615384615385,0.5619335347432024,0.8583333333333333,0.883495145631068,0.2886178861788618
650,0.9402684563758389,0.9399230277711651,0.5933734939759037,0.5797109934782941,0.9328859060402684,0.9899328859060402,1.0,0.8489932885906041,0.9295302013422819,0.34134615384615385,0.48338368580060426,0.8625,0.8571428571428571,0.25609756097560976
700,0.9483221476510068,0.9481153486585314,0.5988955823293173,0.5765383460274669,0.9328859060402684,0.9899328859060402,1.0,0.8758389261744967,0.9429530201342282,0.32211538461538464,0.48942598187311176,0.8583333333333333,0.8821081830790569,0.24796747967479674
750,0.9483221476510068,0.9479845963391677,0.589859437751004,0.56039954821974,0.9563758389261745,0.9932885906040269,0.9966442953020134,0.8489932885906041,0.9463087248322147,0.2980769230769231,0.43202416918429004,0.8583333333333333,0.9029126213592233,0.22967479674796748
800,0.9449664429530201,0.944628141327067,0.6009036144578314,0.568815338730925,0.9463087248322147,0.9899328859060402,1.0,0.8624161073825504,0.9261744966442953,0.3269230769230769,0.48942598187311176,0.8583333333333333,0.9140083217753121,0.2073170731707317
850,0.9523489932885906,0.9521089233424687,0.5908634538152611,0.561769564394307,0.9429530201342282,0.9899328859060402,1.0,0.8859060402684564,0.9429530201342282,0.3269230769230769,0.4622356495468278,0.8583333333333333,0.897364771151179,0.20934959349593496
900,0.9570469798657718,0.9567943612346881,0.5983935742971888,0.5536709041276874,0.9463087248322147,0.9899328859060402,1.0,0.889261744966443,0.959731543624161,0.2932692307692308,0.5015105740181269,0.8416666666666667,0.9459084604715673,0.16463414634146342
950,0.951006711409396,0.9507034204400795,0.5918674698795181,0.5500533149373922,0.9496644295302014,0.9899328859060402,1.0,0.8657718120805369,0.9496644295302014,0.28365384615384615,0.49244712990936557,0.8583333333333333,0.9278779472954231,0.16666666666666666
1000,0.9570469798657718,0.9568164512312748,0.5863453815261044,0.5411461070638399,0.959731543624161,0.9899328859060402,1.0,0.87248322147651,0.9630872483221476,0.3173076923076923,0.45317220543806647,0.8541666666666666,0.9334257975034674,0.15040650406504066
