features,aggregate
A2ML1|144568,0.0020757224354870226
AASS|10157,0.0017754598969893756
AATF|26574,0.0027427683270811166
ABCB6|10058,0.006758672309136542
ABCB7|22,0.002142243689165497
ABCC12|94160,0.0015299247076011365
ABCC1|4363,0.002127380685057518
ABCC4|10257,0.005723775317298627
ABLIM1|3983,0.0059547037097950305
ACAA1|30,0.0010009810640357766
ACAD11|84129,0.0013939626066974105
ACAN|176,0.006690824591191989
ACAT2|39,0.0009575885996643584
ACO1|48,0.0012512925165101428
ACOT4|122970,0.0014065902807458436
ACSM1|116285,0.0018685494124973966
ACSM2A|123876,0.002413718422103421
ACSS2|55902,0.0012987013533150263
ACTG1|71,0.0009540111601200565
ACTR1A|10121,0.004144847651842833
ACTR1B|10120,0.004918437759722113
ACTR8|93973,0.0011883538912543018
ACVR2B|93,0.0024304534882172244
ACYP1|97,0.0028880735947221614
ADAL|161823,0.004554479442072573
ADAM12|8038,0.0022824790747156868
ADAM23|8745,0.0021581124486018295
ADAM9|8754,0.0014750933411452798
ADAMTS12|81792,0.002140984398245331
ADAMTS2|9509,0.006205929894175458
ADAMTS8|11095,0.002760379629812834
ADAT1|23536,0.0010767257794983007
ADAT3|113179,0.004666448286143506
ADA|100,0.0024563081419721224
ADCY8|114,0.0032170848086354167
ADD1|118,0.002068014276361143
ADH1A|124,0.0017361573801812616
ADORA2B|136,0.0030002817917126156
ADPGK|83440,0.00244745163732386
ADPRHL1|113622,0.002528878016474169
ADRA2A|150,0.0016915737117815235
ADRA2C|152,0.002394223793975598
ADRB1|153,0.002704995425984924
AGK|55750,0.00307861046916753
AGPAT6|137964,0.004315913965672125
AGR2|10551,0.0034354335399154534
AHNAK2|113146,0.010161429107734512
AHNAK|79026,0.001279867957972075
AIM2|9447,0.0009053740306100106
AIP|9049,0.0025317095646848727
AIRE|326,0.003218290822426775
AKAP13|11214,0.0033389835184883814
AKAP14|158798,0.0019362965488143842
AKAP8L|26993,0.0029759086589504296
AKR1C1|1645,0.0010186364178589318
AKT3|10000,0.0018343021145247626
ALAD|210,0.002580203828967136
ALB|213,0.0018201794194763411
ALDH1A1|216,0.0024129163564465955
ALDH1A3|220,0.005006026772852287
ALDH1B1|219,0.0034067974102983214
ALG10|84920,0.0023975302307236894
ALG1|56052,0.0068334440956261625
ALG6|29929,0.0024695964136062986
ALKBH3|221120,0.0040999292859843954
ALKBH5|54890,0.0018602324066570143
ALMS1|7840,0.0012093478006010958
ALOX15B|247,0.006822174491016315
ALPK1|80216,0.0014394710852841416
AMACR|23600,0.0034254368333579755
AMDHD1|144193,0.00535698370520781
AMOT|154796,0.0024197890485132224
AMPD2|271,0.0013730473733147715
ANAPC11|51529,0.0008736210572899421
ANAPC4|29945,0.003517268481444445
ANGPTL6|83854,0.0018996612260310792
ANG|283,0.0015002849009079096
ANKAR|150709,0.002411674202161325
ANKDD1A|348094,0.00691589450059249
ANKFY1|51479,0.0021836862779115365
ANKH|56172,0.001955260060103392
ANKMY2|57037,0.0007116717068123464
ANKRD10|55608,0.0017560007145626107
ANKRD20A1|84210,0.004572296944599305
ANKRD23|200539,0.008210890384914559
ANKRD27|84079,0.004167818247631639
ANKRD29|147463,0.004420619653505195
ANKRD30B|374860,0.0028507443824826225
ANKRD43|134548,0.003839642766181023
ANKRD49|54851,0.0024392783420932288
ANKRD54|129138,0.002600042887350372
ANKRD56|345079,0.003484774671550237
ANKRD9|122416,0.0010328710668821863
ANP32D|23519,0.005021808111872246
ANXA3|306,0.0019593665662236267
ANXA4|307,0.005826380176631569
AOF2|23028,0.0019514367257278081
AP2B1|163,0.003194759040082481
AP3S2|10239,0.00438372073299133
AP4B1|10717,0.0045776136973880695
APBB3|10307,0.002077299642108691
APEX1|328,0.004825030075278582
APLN|8862,0.0009273487187037627
APLP1|333,0.0021008949346556045
APOA1BP|128240,0.0019391530379099186
APOC1|341,0.0067991680720706806
APOD|347,0.0010893132421638057
APOL3|80833,0.0017669278316464643
APOL5|80831,0.002199483347883117
APP|351,0.004751913406370392
ARC|23237,0.0051357477233581845
ARF5|381,0.0018526541569736893
ARFIP1|27236,0.0031003378088913336
ARHGAP17|55114,0.0025844179211737704
ARHGAP18|93663,0.004631225845202337
ARHGAP28|79822,0.002825161681430274
ARHGAP9|64333,0.0006350116034160568
ARID1B|57492,0.0012967595414172623
ARID3A|1820,0.0020611164941400826
ARID5A|10865,0.004255864232593441
ARL10|285598,0.007171431979848071
ARL4D|379,0.0029886191128526865
ARL6IP6|151188,0.003595405213654787
ARMC3|219681,0.001749834258873838
ARNT2|9915,0.0038955543029492996
ARNTL2|56938,0.0009003304093745286
ARPC2|10109,0.0017817087756322022
ARRDC3|57561,0.0012183479325017165
AR|367,0.0033341908546041564
ASB14|142686,0.003168267444735935
ASB3|51130,0.004682615072069943
ASCC3L1|23020,0.001977013627804408
ASGR2|433,0.003144552715809925
ASH1L|55870,0.0043381506951083535
ASIP|434,0.0014239451146685
ASMTL|8623,0.0033794684359483755
ASTE1|28990,0.006224030203253111
ASXL1|171023,0.0087925396738798
ATAD4|79170,0.005927786502109589
ATF6|22926,0.0014088077126421994
ATG10|83734,0.0023759895071282424
ATG4A|115201,0.0017103138551670268
ATP11C|286410,0.0023908300583414606
ATP13A1|57130,0.002749284864957412
ATP2C2|9914,0.005679709690953608
ATP5D|513,0.0012351428665141762
ATP5O|539,0.002660686304637363
ATP6V1G1|9550,0.006973752682469932
ATP8B1|5205,0.0026126761166043134
ATPBD1C|51184,0.0021944046323150003
ATXN1L|342371,0.002709854077488253
AUTS2|26053,0.003716970171876956
AXUD1|64651,0.002368959473725939
AZGP1|563,0.004828575939747719
B3GAT1|27087,0.004205301252114456
B4GALT4|8702,0.006854848806733469
BAG1|573,0.0008243477980651231
BAHD1|22893,0.0023106845270611173
BAIAP3|8938,0.0017748821483848244
BARX2|8538,0.0026787477234800636
BATF|10538,0.0014914080316589078
BBC3|27113,0.004577311773705387
BCAN|63827,0.002160186124783977
BCAR3|8412,0.005289269206249292
BCAS4|55653,0.0014795543173647162
BCDIN3D|144233,0.001418476611059144
BCKDHB|594,0.002337510561304253
BCL2A1|597,0.0011036640041791476
BCORL1|63035,0.001580405014141987
BDH2|56898,0.0035522479799469627
BEGAIN|57596,0.004188628170530691
BEST4|266675,0.000926269906254515
BET1L|51272,0.002733838529637026
BGLAP|632,0.004220382037545189
BHLHB2|8553,0.004913860099063041
BIRC3|330,0.0028069807779531174
BLVRA|644,0.001856169957451098
BMF|90427,0.007724278985013823
BMP4|652,0.002159828818151172
BNIP1|662,0.003919895428333864
BOLA1|51027,0.0016792230142175662
BPHL|670,0.0023426313211976184
BPNT1|10380,0.0020604136235619045
BRAF|673,0.001983209702290524
BRD4|23476,0.0011909332732628769
BREA2|286076,0.001589532484435192
BRI3|25798,0.002826465063379754
BRPF1|7862,0.004091056762446542
BRUNOL6|60677,0.007209379564217815
BSCL2|26580,0.0017815846309080583
BTG2|7832,0.003463159553372332
BTN3A1|11119,0.00143642432783789
BYSL|705,0.004178827793498349
C10orf11|83938,0.0054984147658608765
C10orf132|401647,0.002637808312367766
C10orf140|387640,0.0033646791479140193
C10orf32|119032,0.002813211152656857
C10orf39|282973,0.0018772349234597542
C10orf46|143384,0.003652316166016632
C10orf49|221044,0.004207420558257116
C10orf4|118924,0.0030126443842927162
C10orf75|90271,0.002611610244179296
C11orf24|53838,0.006544687205975893
C11orf35|256329,0.002099821199204838
C11orf38|399967,0.0016951120117379061
C11orf58|10944,0.004802678440577279
C11orf67|28971,0.0013157705896664974
C11orf75|56935,0.002099573866012089
C11orf80|79703,0.0040091115467000525
C12orf45|121053,0.0018244654677587488
C12orf54|121273,0.0030703184358549587
C14orf105|55195,0.007342800662243985
C14orf131|55778,0.0023641153880769195
C14orf132|56967,0.00370300789918437
C14orf140|79696,0.0022441817170489407
C14orf148|122945,0.0016240879270599516
C14orf155|84075,0.0020324726968982726
C14orf169|79697,0.002584746515197622
C14orf174|161394,0.0016377981681382772
C14orf72|145200,0.004133730430152018
C14orf94|54930,0.0008486541415467048
C15orf23|90417,0.001363499934456038
C15orf37|283687,0.0013948358981150698
C15orf45|641318,0.0026686186397485564
C16orf44|79786,0.0041413204939613904
C16orf54|283897,0.001744872962423154
C16orf70|80262,0.001596603989820282
C16orf75|116028,0.004063844805752713
C17orf68|80169,0.0012656438006664623
C17orf72|92340,0.0013809746318858827
C17orf87|388325,0.003065096178334037
C18orf19|125228,0.005320546601996632
C18orf24|220134,0.002003160968302064
C19orf10|56005,0.002476853843023534
C19orf42|79086,0.0026393725868121263
C19orf43|79002,0.001473933593196204
C19orf47|126526,0.002579859581331409
C19orf56|51398,0.0009882069257810553
C19orf59|199675,0.0021679277618243467
C19orf61|56006,0.0033636833762465497
C1D|10438,0.0016045991716578767
C1GALT1|56913,0.0013347703166309017
C1QTNF2|114898,0.0015769739570000705
C1QTNF6|114904,0.005003489744073091
C1RL|51279,0.0030574789125088347
C1orf103|55791,0.005601198095838284
C1orf123|54987,0.0027471867331389423
C1orf130|400746,0.001345707912053008
C1orf132|388732,0.0009854774520654014
C1orf135|79000,0.0039059248181575463
C1orf162|128346,0.0051573782041181605
C1orf163|65260,0.0019341094617401735
C1orf172|126695,0.0013315363526904343
C1orf176|64789,0.0062643318276434075
C1orf216|127703,0.003860043908183127
C1orf53|388722,0.003023236657369669
C1orf56|54964,0.008728258745054996
