ADT,Smote500_3000,smote500_5k,Smote500_7.5k,smote500_10k,smote1000_3k,smote1000_5k,Smote1000_7.5k,smote1000_10k,smotefull_3k,smotefull_5k,smotefull_10k,smotefull_15k,xgboost,ctpnet
CD11a,0.743589092513101,0.734265704440405,0.732747645534297,0.746798086971687,0.805957783791359,0.82968422374626,0.830291467243893,0.828537600975902,0.654449323485832,0.684149055275461,0.713852424193231,0.729303653422758,0.895952,0.759911
CD11c,0.890286034413413,0.916729102321081,0.925897062212155,0.928135146398017,0.654101524167334,0.769447676788544,0.833890147013643,0.855991799161372,0.365096726865756,0.374072422876635,0.423040651480686,0.490779696484107,0.958069,0.905097
CD123,0.590969686191659,0.596555745847889,0.601765751833838,0.611166764820808,0.59372212154979,0.628891727887581,0.651317664827861,0.661409409864985,0.704455405002089,0.662437405050204,0.586973085028927,0.57455637779233,0.88024,0.76846
CD127-IL7Ra,0.657609339033252,0.693611567221524,0.704248841219058,0.709524025383199,0.472273035353029,0.598838857402395,0.642766355296741,0.644713868465307,0.376833131599931,0.389659188740238,0.452274438131128,0.509561445926064,0.857226,0.836228
CD14_y,0.880216363454452,0.889177093198276,0.887618920826993,0.886696220904477,0.641794140145471,0.808259371003088,0.869789867233577,0.875814355002001,0.130465510965587,0.186263033954273,0.316082259763853,0.427012192497659,0.964076,0.887019
CD16,0.668251328957131,0.74631420362204,0.809393590324939,0.822288999929499,0.418012808138001,0.424331748877141,0.604873305980226,0.733525344566129,0.776489822101759,0.812236017023717,0.849517930916625,0.852519437242156,0.92926,0.856634
CD161,0.611568608924972,0.594881952808681,0.538144698774952,0.484943754102689,0.409432092715697,0.449456543821471,0.444365333564069,0.415416863722821,0.554565829298259,0.56821307252485,0.565117537569017,0.514593383807986,0.850247,0.747918
CD19,0.835046981920602,0.893036001095581,0.90844960719617,0.893713938191667,0.484657693082463,0.792125050933046,0.883525899087241,0.843106469585285,0.850928436171815,0.876858389312698,0.90409014038717,0.904658110925958,0.953024,0.885605
CD197-CCR7,0.359508699267012,0.370130368890117,0.369772760522421,0.367293269423131,0.320112379493164,0.389456984799474,0.400359025147109,0.389104566601866,0.343968733500172,0.3714482416669,0.389266926747449,0.38546230180076,0.415253,0
CD25,0.346051554109213,0.325692181054206,0.287405813763806,0.262916471549556,0.180514366127465,0.270873289808982,0.269158030435555,0.24406647904343,0.157939305739102,0.129283092831487,0.137916052048451,0.163628870234173,0.439223,0
