features,features,shapley_values
0,DTWD2|285605,0.0005233420368397785
1,NEUROG2|63973,0.0005423728244225076
2,ARF5|381,0.000670165839990664
3,ZBTB16|7704,0.0006105761592479616
4,SEC14L1|6397,0.0005659003147048462
5,LSM4|25804,0.0006057063763638968
6,LMCD1|29995,0.0006337012600574767
7,GLUL|2752,0.0006847614221831989
8,TRIM25|7706,0.0006841573796180526
9,MPZL2|10205,0.0004972590376020975
10,ST8SIA5|29906,0.00046443277073410824
11,RGS7BP|401190,0.0005960570655522317
12,VPS33A|65082,0.0005809634472824603
13,ZDHHC3|51304,0.0005216208266581723
14,KCNK3|3777,0.00045990976989583924
15,MRP63|78988,0.0004160796273786711
16,PDF|64146,0.0006568875024992496
17,ELMO1|9844,0.0004099368849598405
18,SRPK3|26576,0.0005983754847393341
19,PIK3CD|5293,0.00032413374498081043
20,TMEM176B|28959,0.0007844598012558745
21,CXorf40A|91966,0.0006537968472529558
22,ANGPT2|285,0.0006223696036981457
23,ROGDI|79641,0.00042588226944434676
24,HMGN2P4|643744,0.0006073768086288941
25,EGFR|1956,0.0007222764341941253
26,PRIM1|5557,0.0005429554045890466
27,ETV5|2119,0.0004569072733533798
28,PSMF1|9491,0.0004458886354946869
29,LAMB1|3912,0.0005643750141926078
30,PRKAB1|5564,0.0005935943324613449
31,PROX2|283571,0.0005259323979753142
32,LOC221442|221442,0.0004761203010254997
33,PHYHD1|254295,0.0005399777269135975
34,MRPS11|64963,0.0005092928392758879
35,hCG_19809|647030,0.0005161619951294433
36,RPL7A|6130,0.0006396971773802619
37,LATS2|26524,0.000647099025022301
38,NXPH1|30010,0.000526648750985326
39,RUFY1|80230,0.0005124818157513683
40,UTP14A|10813,0.00034157589622556576
41,MRPL11|65003,0.0005130212255188722
42,MOGAT2|80168,0.0005742034355794476
43,VGF|7425,0.0004456850160992988
44,MRPL54|116541,0.0005924683208757652
45,ALDOA|226,0.0007305446130965332
46,EIF4H|7458,0.00038196271949979277
47,CASQ2|845,0.0006245561481544248
48,TIMM13|26517,0.00039200882109316086
49,VLDLR|7436,0.00042636761053725967
50,RPL39L|116832,0.00047949386633521613
51,TCF23|150921,0.0004503780588245856
52,ANAPC4|29945,0.0005513709961750295
53,PTPN3|5774,0.0005077199625801378
54,EXT2|2132,0.0004943191251807895
55,INHBE|83729,0.00047418117490257675
56,C6orf154|221424,0.0004464327126938171
57,LOC116349|116349,0.0004992451688702359
58,CREM|1390,0.0005422894417780673
59,ZNHIT2|741,0.0007647743200514393
60,C11orf30|56946,0.0005026179074409621
61,C8orf53|84294,0.0004337410261469745
62,DOK3|79930,0.00046585949647568543
63,WDR59|79726,0.0007111562226029791
64,MRPS35|60488,0.00035017829956993237
65,TMEM63B|55362,0.00033574835738276745
66,CACNG1|786,0.0006790020104246317
67,COQ5|84274,0.0005369314455096774
68,CCDC62|84660,0.0004343184575791517
69,EMP3|2014,0.0005530026320450331
70,CTNNBIP1|56998,0.0005194413672215422
71,RPL13|6137,0.0004893004062575376
72,GPC4|2239,0.0007571610268017792
73,CIDEC|63924,0.0005364005971354613
74,ALG10|84920,0.0003736101388822045
75,ZNF549|256051,0.0008130103753955852
76,HIST3H2BB|128312,0.0005609717107377827
77,SOCS3|9021,0.0004003904402589949
78,ADH1B|125,0.0002617370571259389
79,USP5|8078,0.0006103768084550279
80,ATAD2|29028,0.00048144716564201917
81,TMED3|23423,0.00029070761738309524
82,COG4|25839,0.0004445027639536131
83,IL18RAP|8807,0.000445907899185925
84,NDUFB2|4708,0.0005402072719680647
85,HSD17B12|51144,0.00044167348646587416
86,CBLN2|147381,0.0005720332952040085
87,CYP2A7|1549,0.0006640715519483178
88,TCEAL3|85012,0.0006152976779681114
89,LPPR4|9890,0.0005478103690075402
90,RXRB|6257,0.0006198866506617589
91,NES|10763,0.0007069847545861084
92,NPB|256933,0.0006634134489483098
93,STEAP1|26872,0.000432483983526778
94,IL17RB|55540,0.0003760332213778579
95,TMEM52|339456,0.00047068965886961245
96,C2orf7|84279,0.0005719574833253234
97,TBCA|6902,0.0006873922649553983
98,LIAS|11019,0.0004773881644378053
99,PIM1|5292,0.0005683863503912547
100,DKFZp564H213|440432,0.0005996496032891944
101,STX10|8677,0.0006747253533439052
102,PLSCR4|57088,0.0004497963886829937
103,NDST3|9348,0.00048042481953060497
104,IL1RL1|9173,0.0007216483445329214
105,ALG11|440138,0.00047593300507310117
106,LOC730091|730091,0.0008189889473524576
107,PMS2|5395,0.0008134586990849286
108,C1orf162|128346,0.0006701397684133721
109,ZC3H12D|340152,0.0008332819694495318
110,SLC46A1|113235,0.0004371634369416807
111,IL17RE|132014,0.00041375879990312276
112,PLEKHB2|55041,0.0004916743174148087
113,CXXC4|80319,0.000559953970996431
114,LGR6|59352,0.0006308590228288686
115,FBXO27|126433,0.0005188601192061915
116,CEACAM3|1084,0.0006437531542162213
117,C1orf76|148753,0.0004487366678929198
118,SERF1B|728492,0.0005252239874023669
119,RBM8A|9939,0.0003274306829318407
120,TPI1|7167,0.0005727291140250077
121,PDCD6|10016,0.0005435507330777999
122,RAB27A|5873,0.0004468439654733297
123,GFPT2|9945,0.00046171418000505416
124,IL8RB|3579,0.0006730170119204903
125,RPL10L|140801,0.0005396389572883724
126,EEF2|1938,0.000563909860158816
127,TIMM8B|26521,0.000403113198366852
128,APOLD1|81575,0.0006026049154269386
129,XRRA1|143570,0.00046623277598386724
130,NFKBIE|4794,0.00030182677391759
131,LOC284242|284242,0.0004830603030512679
132,TBC1D3|84218,0.0006095970556980372
133,HECW1|23072,0.0003681712367373913
134,PCDHA1|56147,0.0005691564454647141
135,PLEC1|5339,0.0008663201541800451
136,CLSTN3|9746,0.0004412764975216918
137,FBXO8|26269,0.0005116550030414443
138,USP4|7375,0.0005991486505328551
139,TRAPPC4|51399,0.0006065173159836873
140,KIAA0090|23065,0.0003372806243120772
141,C20orf160|140706,0.000628568838054842
142,MITD1|129531,0.0005632292512606997
143,FLJ44715|386671,0.00031502013946657615
144,PRSS22|64063,0.00044879968382600493
145,GSTM4|2948,0.0005449168389572884
146,PIGH|5283,0.0006255734918404535
147,HIST1H3G|8355,0.0006591053576808708
148,SPAG7|9552,0.00044331887723953714
149,ICAM2|3384,0.0005441900157149226
150,DGCR11|25786,0.0004587839146250112
151,LRRC59|55379,0.0005298802796973162
152,RNF187|149603,0.0005688332278011173
153,LEMD1|93273,0.0004956576735369053
154,TBC1D1|23216,0.000694461177929936
155,MGC13379|51259,0.0005775373293777143
156,THOC4|10189,0.0004596543618136625
157,OCC-1|387882,0.0007437063684582244
158,KIAA1841|84542,0.000582247309397633
159,FGL1|2267,0.0005205335122516278
160,ZCWPW1|55063,0.0004783241242597011
161,FBXW9|84261,0.0006532525690937522
162,WDR23|80344,0.0006142891049523732
163,COX7A2|1347,0.0003620578341883508
164,TNFRSF10C|8794,0.0003540778150236876
165,ATG9A|79065,0.00052376036095914
166,SYT9|143425,0.0006991577888329646
167,SPRY4|81848,0.0005311098678620558
168,SEMA3F|6405,0.0006418050689343223
169,IQUB|154865,0.0006364503317066918
170,SPATA7|55812,0.0005274792771046207
171,LSMD1|84316,0.0007904935954505031
172,PRRG4|79056,0.000617891853663817
173,DUOX1|53905,0.0005832726953241701
174,SFTPD|6441,0.0005228621402095864
175,LYCAT|253558,0.0005242846071176673
176,VIT|5212,0.0005316433339579507
177,HCG18|414777,0.0004887605985135167
178,BARX2|8538,0.0006281353723572731
179,LOC389541|389541,0.0006931423797223767
180,AXUD1|64651,0.0007064613141872557
181,BZW2|28969,0.0006533076903226427
182,LOC729255|729255,0.000587555684543906
183,CENPJ|55835,0.00047426778889731933
184,SLC39A4|55630,0.0004648622396114428
185,CTNNB1|1499,0.0004231741926619563
186,HMGN3|9324,0.0005030701023621825
187,C1orf135|79000,0.0005641623341841972
188,CSNK1D|1453,0.0005833254138973357
189,RRM1|6240,0.0005374598922015012
190,MSX2P1|55545,0.0006632239164360298
191,B3GALT6|126792,0.000617112397120151
192,C9orf90|203245,0.0004728996628619008
193,C10orf4|118924,0.0005672892769158023
194,VPS26B|112936,0.0005801710860262098
195,KCNE4|23704,0.0004329925517293448
196,SEPW1|6415,0.0005333852361996583
197,PXN|5829,0.0006588627718986297
198,LOC150786|150786,0.0004994987865213345
199,PTER|9317,0.0004135619278933892
200,DHRSX|207063,0.00034321163700727197
201,NKAIN1|79570,0.0005352815530252286
202,TBX5|6910,0.0006731627827814863
203,PIH1D1|55011,0.0004887921043719409
204,GPR172A|79581,0.0004767958139396841
205,CAPN2|824,0.0005289620718765141
206,ALKBH8|91801,0.0004749505768230111
207,G3BP1|10146,0.000545384117973644
208,SLC7A2|6542,0.00043255990897156317
209,ZNF536|9745,0.0005142329177792108
210,TCEB2|6923,0.0006454434834053828
211,PRKCD|5580,0.0005955713057323077
212,CXorf56|63932,0.000665378794252676
