features,features,shapley_values
0,USP27X|389856,0.000970344842869592
1,HNRNPU|3192,0.0020249369735212725
2,EGFL8|80864,0.0010706285344728285
3,"LOC401015,FAM133B|401015",0.001211603107754147
4,YEATS2|55689,0.0006839663265491351
5,RORA|6095,0.0010175522310784976
6,ARFIP1|27236,0.0008521429886874478
7,EI24|9538,0.001035414395213485
8,DLG4|1742,0.0035699715048574327
9,MDN1|23195,0.0005202142027131455
10,UBE2R2|54926,0.000732978350735146
11,TBRG4|9238,0.0006585320140017282
12,TNPO2|30000,0.0005292393542826631
13,USP48|84196,0.0008434132024978166
14,hCG_18290|644907,0.0019206970051205245
15,POR|5447,0.0009750998108655079
16,C1orf56|54964,0.0015721124166468178
17,LSM14B|149986,0.0007190819110068934
18,IPO9|55705,0.0005973297485654444
19,C9orf126|286205,0.001979053331878486
20,MED18|54797,0.0005287356723165731
21,TMEM115|11070,0.0007608499428113795
22,DAPK2|23604,0.0008654291981698528
23,GTPBP10|85865,0.001205173660694866
24,SENP2|59343,0.0009176194961333689
25,DPPA3|359787,0.0014758281040808657
26,OR8B8|26493,0.0010794671923197515
27,"LOC441383,ZNF252|441383",0.0026925536111461674
28,WDR40A|25853,0.0011604224251978257
29,SSR2|6746,0.001449650170130292
30,MRPS2|51116,0.00101343221172313
31,ZNF408|79797,0.000796860039671749
32,OTUB2|78990,0.0009404895357001258
33,ZNF713|349075,0.0014133995385956584
34,PLA2G4E|123745,0.0015078083955870863
35,HIST1H3F|8968,0.0013349082039316586
36,RPLP2|6181,0.0007849313749694814
37,C15orf45|641318,0.0008794148970233371
38,LOC388789|388789,0.0013134065427988727
39,PURA|5813,0.0005857912439241793
40,ASH1L|55870,0.0007127190134626321
41,PSMD11|5717,0.001294510370469828
42,MT3|4504,0.0009425365429423627
43,SRF|6722,0.001103819447736811
44,LOC728540|728540,0.0012066218705376604
45,LOC255275|255275,0.0010682258766462494
46,C2orf24|27013,0.001306588734746066
47,HRH4|59340,0.0005891244437200224
48,POGK|57645,0.0007751801522761195
49,CENPL|91687,0.001461092866910729
50,RSC1A1|6248,0.0009044522795292275
51,RBP3|5949,0.0010187778438452595
52,LOC645700|645700,0.0008166449654773807
53,NXF4|55999,0.0009460198121876757
54,RPS19BP1|91582,0.0006116843140232918
55,"RPL41L,RPL41|6172",0.0011767106973132845
56,C14orf72|145200,0.000833831907498182
57,LOC128977|128977,0.0009136351894838517
58,ZBTB9|221504,0.0007769743704401363
59,PITPNM1|9600,0.0014240737005930316
60,MRPL14|64928,0.0008210381804894625
61,INTS9|55756,0.0007210114743500706
62,LOC441242|441242,0.0005973797058967263
63,ANP32D|23519,0.0008537526399183389
64,RAPGEF6|51735,0.0006032970690810379
65,ANAPC4|29945,0.0007875973796160981
66,RNPEP|6051,0.0010698791101510041
67,TBC1D10C|374403,0.0005328054462239702
68,KCTD21|283219,0.0010434578691915287
69,ADPRHL2|54936,0.0012491459295287284
70,ZNF337|26152,0.0004885055035315262
71,HM13|81502,0.0005289791693437262
72,GOSR1|9527,0.0011675669631461775
73,SYCP2|10388,0.0008150937263475256
74,RNF214|257160,0.0005295218616448475
75,COMMD6|170622,0.0008989584436539826
