Gene_Symbol,GeneID,Description
DNAH12,201625,"dynein, axonemal, heavy chain 12"
OR2T6,254879,"olfactory receptor, family 2, subfamily T, member 6"
EBF1,1879,early B-cell factor 1
DKFZp686D0972,345651,similar to RIKEN cDNA 4732495G21 gene
ATP8B4,79895,"ATPase, class I, type 8B, member 4"
NOTCH2NL,388677,Notch homolog 2 N-terminal like
SPIRE1,56907,spire homolog 1
HSP90AA5P,730211,"heat shock protein 90kDa alpha (cytosolic), class A member 5 (pseudogene)"
XIRP2,129446,xin actin-binding repeat containing 2
SEMA4C,54910,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
C6orf85,63027,chromosome 6 open reading frame 85
LOC728217,728217,similar to chromobox homolog 3
"LOC284336,POU2F2",284336,"hypothetical protein LOC284336, POU class 2 homeobox 2"
PTK7,5754,PTK7 protein tyrosine kinase 7
RAC3,5881,"ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)"
EEF2K,29904,eukaryotic elongation factor-2 kinase
EEF1A2,1917,eukaryotic translation elongation factor 1 alpha 2
GPT,2875,glutamic-pyruvate transaminase (alanine aminotransferase)
SLC10A3,8273,"solute carrier family 10 (sodium/bile acid cotransporter family), member 3"
GSTZ1,2954,glutathione transferase zeta 1 (maleylacetoacetate isomerase)
RP11-529I10.4,25911,deleted in a mouse model of primary ciliary dyskinesia
H2AFX,3014,"H2A histone family, member X"
NKAPL,222698,NFKB activating protein-like
LOC151162,151162,hypothetical protein LOC151162
RPL9,6133,ribosomal protein L9
ARD1A,8260,"ARD1 homolog A, N-acetyltransferase"
IKZF2,22807,IKAROS family zinc finger 2 (Helios)
ADRBK2,157,"adrenergic, beta, receptor kinase 2"
CA2,760,carbonic anhydrase II
HLA-B,3106,"major histocompatibility complex, class I, B"
MGC72080,389538,MGC72080 pseudogene
GPR160,26996,G protein-coupled receptor 160
MBD1,4152,methyl-CpG binding domain protein 1
POLR3K,51728,"polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa"
SLITRK3,22865,"SLIT and NTRK-like family, member 3"
UFM1,51569,ubiquitin-fold modifier 1
SUGT1,10910,"SGT1, suppressor of G2 allele of SKP1"
DKFZP761M1511,54492,hypothetical protein DKFZP761M1511
TRAF3IP3,80342,TRAF3 interacting protein 3
EHD3,30845,EH-domain containing 3
KCNK9,51305,"potassium channel, subfamily K, member 9"
KCNIP4,80333,Kv channel interacting protein 4
SLC12A2,6558,"solute carrier family 12 (sodium/potassium/chloride transporters), member 2"
MS4A4A,51338,"membrane-spanning 4-domains, subfamily A, member 4"
ATP5A1,498,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle"
RB1CC1,9821,RB1-inducible coiled-coil 1
SLC4A3,6508,"solute carrier family 4, anion exchanger, member 3"
PGAM5,192111,phosphoglycerate mutase family member 5
MAP1B,4131,microtubule-associated protein 1B
IL18,3606,interleukin 18 (interferon-gamma-inducing factor)
SEC61A1,29927,Sec61 alpha 1 subunit
CLPX,10845,ClpX caseinolytic peptidase X homolog (E. coli)
PRPSAP1,5635,phosphoribosyl pyrophosphate synthetase-associated protein 1
PLEK,5341,pleckstrin
NUCB2,4925,nucleobindin 2
MAGEA1,4100,"melanoma antigen family A, 1 (directs expression of antigen MZ2-E)"
CTSL2,1515,cathepsin L2
ASS1,445,argininosuccinate synthetase 1
NUMBL,9253,numb homolog-like
USP9X,8239,"ubiquitin specific peptidase 9, X-linked"
GAPDHS,26330,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
SLC39A5,283375,"solute carrier family 39 (metal ion transporter), member 5"
LOC149832,149832,hypothetical protein LOC149832
MARCH4,57574,membrane-associated ring finger (C3HC4) 4
HIST1H3E,8353,"histone cluster 1, H3e"
RIMS2,9699,regulating synaptic membrane exocytosis 2
CRHR1,1394,corticotropin releasing hormone receptor 1
PPIF,10105,peptidylprolyl isomerase F (cyclophilin F)
LZTS1,11178,"leucine zipper, putative tumor suppressor 1"
FABP3,2170,"fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)"
FIBIN,387758,fin bud initiation factor
SULT1A1,6817,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1"
ANKRD10,55608,ankyrin repeat domain 10
AURKA,6790,aurora kinase A
AIFM1,9131,"apoptosis-inducing factor, mitochondrion-associated, 1"
PLEKHA6,22874,"pleckstrin homology domain containing, family A member 6"
SSBP2,23635,single-stranded DNA binding protein 2
CORO1C,23603,"coronin, actin binding protein, 1C"
DDAH2,23564,dimethylarginine dimethylaminohydrolase 2
FLT3,2322,fms-related tyrosine kinase 3
PRKCH,5583,"protein kinase C, eta"
CTXN3,613212,cortexin 3
FUBP1,8880,far upstream element (FUSE) binding protein 1
ARL5A,26225,ADP-ribosylation factor-like 5A
TTC9,23508,tetratricopeptide repeat domain 9
XPO1,7514,"exportin 1 (CRM1 homolog, yeast)"
LOC389834,389834,hypothetical gene supported by AK123403
ADK,132,adenosine kinase
CHRM2,1129,"cholinergic receptor, muscarinic 2"
CXCL17,284340,chemokine (C-X-C motif) ligand 17
DMD,1756,"dystrophin (muscular dystrophy, Duchenne and Becker types)"
KBTBD10,10324,kelch repeat and BTB (POZ) domain containing 10
PXDN,7837,peroxidasin homolog
DDX1,1653,DEAD (Asp-Glu-Ala-Asp) box polypeptide 1
KLHDC5,57542,kelch domain containing 5
PMS2L3,5387,postmeiotic segregation increased 2-like 3
PFN4,375189,"profilin family, member 4"
SLC7A10,56301,"solute carrier family 7, (neutral amino acid transporter, y+ system) member 10"
C3orf54,389119,chromosome 3 open reading frame 54
CYP4F2,8529,"cytochrome P450, family 4, subfamily F, polypeptide 2. leukotriene B4 (LTB4) omega-hydroxylase (responsible for synthesis of 20-hydroxyeicosatetraenoic acid (20-HETE) in kidney)"
CCDC131,196441,coiled-coil domain containing 131
MYOT,9499,myotilin
OAS1,4938,"2',5'-oligoadenylate synthetase 1, 40/46kDa"
LIMK1,3984,LIM domain kinase 1
KCTD2,23510,potassium channel tetramerisation domain containing 2
ITGA6,3655,"integrin, alpha 6"
HCG4P6,80868,HLA complex group 4 pseudogene 6
SERPINA3,12,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"
ANKRD28,23243,ankyrin repeat domain 28
FREM3,166752,FRAS1 related extracellular matrix 3
SNRPD3,6634,small nuclear ribonucleoprotein D3 polypeptide 18 kDa (proposed multi-tissue human housekeeping gene)
THAP4,51078,THAP domain containing 4
GLS,2744,glutaminase
SNRPE,6635,small nuclear ribonucleoprotein polypeptide E
AP3B2,8120,"adaptor-related protein complex 3, beta 2 subunit"
PTPRS,5802,"protein tyrosine phosphatase, receptor type, S"
TUBB3,10381,"tubulin, beta 3"
ITGA9,3680,"integrin, alpha 9"
USO1,8615,"USO1 homolog, vesicle docking protein"
INTS1,26173,integrator complex subunit 1
TFRC,7037,"transferrin receptor (p90, CD71)"
SYNGR2,9144,synaptogyrin 2
DHDH,27294,dihydrodiol dehydrogenase (dimeric)
CYTL1,54360,cytokine-like 1
CKMT1B,1159,"creatine kinase, mitochondrial 1B"
KLF10,7071,Kruppel-like factor 10
C4orf22,255119,chromosome 4 open reading frame 22
CHAD,1101,chondroadherin
LMO2,4005,LIM domain only 2 (rhombotin-like 1)
ARHGAP23,57636,Rho GTPase activating protein 23
ETHE1,23474,ethylmalonic encephalopathy 1
SCRG1,11341,scrapie responsive protein 1
NPTX1,4884,neuronal pentraxin I
LOC283454,283454,hypothetical protein LOC283454
BCMO1,53630,"beta-carotene 15,15'-monooxygenase 1"
SGCA,6442,"sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein)"
SLC22A18,5002,"solute carrier family 22 (organic cation transporter), member 18"
"TMEM56,RWDD3",148534,"transmembrane protein 56, RWD domain containing 3"
SH2D1A,4068,"SH2 domain protein 1A, Duncan's disease (lymphoproliferative syndrome)"
JMJD2C,23081,jumonji domain containing 2C
ZFP30,22835,zinc finger protein 30 homolog (mouse)
PABPN1,8106,"poly(A) binding protein, nuclear 1"
FLJ20674,54621,hypothetical protein FLJ20674
GRIK1,2897,"glutamate receptor, ionotropic, kainate 1"
KIFC3,3801,kinesin family member C3
CASQ2,845,calsequestrin 2 (cardiac muscle)
DKFZP686E2158,643155,hypothetical protein LOC643155
TXNRD1,7296,thioredoxin reductase 1
MORF4,10934,mortality factor 4
ANAPC11,51529,APC11 anaphase promoting complex subunit 11 homolog
GCS1,7841,glucosidase I
DNAJB5,25822,"DnaJ (Hsp40) homolog, subfamily B, member 5"
EPS8,2059,epidermal growth factor receptor pathway substrate 8
COQ2,27235,"coenzyme Q2 homolog, prenyltransferase"
SLC38A4,55089,"solute carrier family 38, member 4"
ABAT,18,4-aminobutyrate aminotransferase
SLC16A4,9122,"solute carrier family 16, member 4 (monocarboxylic acid transporter 5)"
CALCR,799,calcitonin receptor
CPA6,57094,carboxypeptidase A6
FAM59B,150946,"family with sequence similarity 59, member B"
CHST4,10164,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4
C9,735,complement component 9
COL10A1,1300,"collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)"
CCRN4L,25819,CCR4 carbon catabolite repression 4-like
HIP1R,9026,huntingtin interacting protein 1 related
C11orf41,25758,chromosome 11 open reading frame 41
GAS7,8522,growth arrest-specific 7
CIB2,10518,calcium and integrin binding family member 2
MAFB,9935,v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
LOC645323,645323,hypothetical LOC645323
PPM1D,8493,"protein phosphatase 1D magnesium-dependent, delta isoform"
LPL,4023,lipoprotein lipase
LOC285835,285835,hypothetical protein LOC285835
CAPG,822,"capping protein (actin filament), gelsolin-like"
ATP1A3,478,"ATPase, Na+/K+ transporting, alpha 3 polypeptide"
PHF19,26147,PHD finger protein 19
ITLN1,55600,intelectin 1 (galactofuranose binding)
GPRC5C,55890,"G protein-coupled receptor, family C, group 5, member C"
NCOA3,8202,nuclear receptor coactivator 3
AZIN1,51582,antizyme inhibitor 1
UPF1,5976,UPF1 regulator of nonsense transcripts homolog
HSA251708,54759,putative microtubule-binding protein
IMMP2L,83943,IMP2 inner mitochondrial membrane peptidase-like
CASP10,843,"caspase 10, apoptosis-related cysteine peptidase"
SNCG,6623,"synuclein, gamma (breast cancer-specific protein 1)"
ATP2B2,491,"ATPase, Ca++ transporting, plasma membrane 2"
BAG1,573,BCL2-associated athanogene
P4HA1,5033,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I"
GADD45B,4616,"growth arrest and DNA-damage-inducible, beta"
UTRN,7402,utrophin
PAIP1,10605,poly(A) binding protein interacting protein 1
GGTLA1,2687,gamma-glutamyltransferase-like activity 1
VAMP2,6844,vesicle-associated membrane protein 2 (synaptobrevin 2)
TULP4,56995,tubby like protein 4
TFPI,7035,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
PLEKHA5,54477,"pleckstrin homology domain containing, family A member 5"
C20orf107,388799,chromosome 20 open reading frame 107
BTD,686,biotinidase
SPATA20,64847,spermatogenesis associated 20
LRCH1,23143,leucine-rich repeats and calponin homology (CH) domain containing 1
ATXN7,6314,ataxin 7
CCDC40,55036,coiled-coil domain containing 40
ATXN8OS,6315,ataxin 8 opposite strand
ERBB3,2065,v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
ZCCHC10,54819,"zinc finger, CCHC domain containing 10"
ODF2L,57489,outer dense fiber of sperm tails 2-like
KITLG,4254,KIT ligand
STK39,27347,"serine threonine kinase 39 (STE20/SPS1 homolog, yeast)"
PALMD,54873,palmdelphin
GLUD2,2747,glutamate dehydrogenase 2
MPPED1,758,metallophosphoesterase domain containing 1
SPATA6,54558,spermatogenesis associated 6
ALS2CR2,55437,"amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2"
TRIM38,10475,tripartite motif-containing 38
LOC221710,221710,hypothetical protein LOC221710
MTHFD1,4522,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase"
ADIPOR1,51094,adiponectin receptor 1
CSRP3,8048,cysteine and glycine-rich protein 3 (cardiac LIM protein)
NPHS2,7827,"nephrosis 2, idiopathic, steroid-resistant (podocin)"
CALD1,800,caldesmon 1
LY6H,4062,"lymphocyte antigen 6 complex, locus H"
CYP21A2,1589,"cytochrome P450, family 21, subfamily A, polypeptide 2 (steroid C-21 hydroxylase, cortisol biosynthesis, congenital adrenal hyperplasia)"
